" and "," e "
" The customer doesn't exist in the system anymore"," O cliente não existe no sistema"
"Total of %d record(s) were successfully updated","%d item(s) atualizado(s) com sucesso"
"Total of %d record(s) were successfully deleted","%d item(s) excluído(s) com sucesso"
"(Absolute path or Relative to Magento install root, ex. var/export)","(Caminho absoluto ou relativo da raiz de instalação do Magento, ex. var/export)"
"(Starting with)","(Começando com)"
"(Leave empty for first spreadsheet)","(Deixe vazio para primeira planilha)"
"(For US 2-letter state names)","(Para nomes de estados Americanos com 2 letras)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(Produtos serão adicionados/atualizados nesta loja se a coluna 'loja' estiver vazia ou faltando no arquivo de importação.)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(Quando 'Não', apenas campos mapeados serão importados. Ao mapear, use 'column1', 'column2', etc.)"
"(If left empty will be auto-generated)","(Se deixado vazio será gerado automaticamente)"
"(Shift-)Click or drag to change value","(Shift-)Clique ou arraste para alterar o valor"
"(You have to increase php memory_limit before changing this value)","(Você precisa aumentar o memory_limit do php antes de alterar este valor)"
"(\t for tab)","(\t for tab)"
"* - If indexing is in progress, it will be killed and new indexing process will start","* - Se a indexação está sendo realizada, ela será terminada e um novo processo de indexação será iniciado."
"- Click on any of the time parts to increase it","- Clique em qualquer parte do horário para aumentá-lo"
"- Hold mouse button on any of the above buttons for faster selection.","- Mantenha pressionado o botão do mouse sobre os botões acima para selecionar mais rápido."
"- or click and drag for faster selection.","- ou clique e arraste para selecionar mais rápido"
"- or Shift-click to decrease it","- ou shift-clique para diminuí-lo"
"- Use the %s buttons to select month","- Use o botão %s para selecionar o mês"
"- Use the %s, %s buttons to select year","- Use os botões %s, %s para selecionar o ano"
"-- Please select --","-- Por favor, selecione --"
"-- Please Select --","-- Por favor, selecione --"
"-- Please select a category --","-- Por favor, selecione uma categoria --"
"--Please Select--","--Por favor, selecione--"
"1 Hour","1 Hora"
"12 Hours","12 Horas"
"12h AM/PM","12h AM/PM"
"2 Hours","2 Horas"
"24 Hours","24 Horas"
"24h","24h"
"6 Hours","6 Horas"
"<h1 class=""page-heading"">Access denied</h1><p>Access denied.</p>","<h1 class=""page-heading"">Acesso negado</h1><p>Acesso negado.</p>"
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading"">Erro 404</h1><p>Página não encontrada.</p>"
"Action","Ação"
"Profile Action","Ação do perfil"
"Actions","Ações"
"Actions XML","Ações XML"
"Wrong tab configuration","Aba de configuração incorreta"
"Resource Access","Acesso do recurso"
"Access Deny","Acesso negado"
"Access Denied.","Acesso negado."
"2YTD","Acumulado em 2 anos"
"YTD","Acumulado no ano"
"Add","Adicionar"
"Add Contents Path","Adicionar caminho dos conteúdos"
"Add Field with URL:","Adicionar campo com URL:"
"Add PHP Extension dependency","Adicionar dependência da extensão do PHP"
"Add Package dependency","Adicionar dependência do pacote"
"Add Subpackage dependency","Adicionar dependência do subpacote"
"Add after","Adicionar depois"
"Add Exception","Adicionar exceção"
"Add Maintainer","Adicionar mantenedor"
"Add Field Mapping","Adicionar mapeamento de campos"
"Add New Image","Adicionar nova imagem"
"Add new Role","Adicionar novo cargo"
"Add New Role","Adicionar novo cargo"
"Add new store view map","Adicionar novo mapa de visão da loja"
"Add new website map","Adicionar novo mapa de website"
"Add New Template","Adicionar novo modelo"
"Add New Profile","Adicionar novo perfil"
"Add New osCommerce Profile","Adicionar novo perfil do osCommerce"
"Add New Urlrewrite","Adicionar novo Urlrewrite"
"Add New User","Adicionar novo usuário"
"Add Urlrewrite","Adicionar Urlrewrite"
"Add Urlrewrite for a Product","Adicionar Urlrewrite para um produto"
"Add Urlrewrite for a Category","Adicionar Urlrewrite para uma categoria"
"Admin","Admin"
"Schedule Merge","Agendar união"
"Aggregate Order","Agregar pedido"
"Help Us Keep Magento Healthy - Report All Bugs","Ajude-nos a manter a qualidade do Magento – reporte todos os bugs"
"Warning! Empty value can cause problems with CSV format.","Alerta! Valor vazio pode causar problemas com o formato CSV."
"Warning: Please don't close window during importing/exporting data","Alerta: Por favor não feche esta janela durante a importação/exportação de dados"
"Some of the ordered items don't exist in the catalog anymore and will be removed if you try to edit the order.","Alguns dos itens comprados não existem mais no catálogo e serão removidos se você tentar editar o pedido."
