"%s was successfully added to your shopping cart.","%s foi adicionado ao seu carrinho de compras com sucesso"
"&laquo; Back to Shopping Cart","&laquo; Voltar ao carrinho de compras"
"&laquo; Back to Billing Information","&laquo; Voltar para as informações de cobrança"
"&laquo; Back to Select Addresses","&laquo; Voltar para selecionar endereço"
"* Required Fields","* Campos obrigatórios"
"Please <a href=""%s"">continue shopping</a>.","<a href=""%s"">Continue comprando</a>."
"Easy access to your order history and status","Acesso fácil ao seu histórico de pedidos e status"
"Add to Cart","Adicionar ao carrinho"
"Add to Wishlist","Adicionar à lista de desejos"
"Add New Condition","Adicionar nova condição"
"Add New Address","Adicionar novo endereço"
"Add to Compare","Adicionar para comparação"
"Some of the products you requested are unavailable","Alguns produtos que você solicitou não estão disponíveis"
"Some of the products you requested are not available in the desired quantity","Alguns produtos que você solicitou não estão disponíveis na quantidade desejada"
"Change","Alterar"
"Content Height","Altura do conteúdo"
"Content Height (css)","Altura do conteúdo (css)"
"After adding a product redirect to shopping cart","Após adicionar um produto redirecionar para o carrinho de compra"
"Update Shopping Cart","Atualizar carrinho de compras"
"Update Qty &amp; Addresses","Atualizar quantidade &amp; endereços"
"Update Total","Atualizar total"
"Shopping Cart Sidebar","Barra lateral do carrinho de compras"
"Based on your selection, you may be interested in the following items:","Baseado na sua seleção, você pode estar interessado nos seguintes itens:"
"Register and save time!","Cadastre-se e ganhe tempo!"
"Cancel Coupon","Cancelar cupom"
"Loading next step...","Carregando próximo passo..."
"Shopping Cart","Carrinho de compras"
"Shopping Cart is Empty","Carrinho de compras está vazio"
"Coupon code was canceled successfully.","Código do cupom foi cancelado com sucesso."
"Zip/Postal Code","CEP"
"City","Cidade"
"Click <a href=""%s"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation.","Clique <a href=""%s"" onclick=""this.target='_blank'"">aqui para imprimir</a> uma cópia da confirmação do seu pedido."
"Condition was successfully deleted","Condição foi excluída com sucesso"
"Condition was successfully saved","Condição foi salva com sucesso"
"Checkout Conditions","Condições para finalizar compra"
"Confirm Password","Confirme sua senha"
"Content","Conteúdo"
"Continue","Continuar"
"Continue to Billing Information","Continuar com as informações de cobrança"
"Continue to Shipping Information","Continuar com as informações de envio"
"Continue Shopping","Continuar comprando"
"Continue to Review Your Order","Continuar revendo seu pedido"
"Get a Quote","Cotar"
"Create Billing Address","Criar endereço de cobrança"
"Create Shipping Address","Criar endereço de envio"
"Coupon code ""%s"" was applied successfully.","Cupom de código ""%s"" foi utilizado com sucesso."
"Coupon code ""%s"" is not valid.","Cupom de código ""%s"" não é válido."
"Discount Codes","Cupom de desconto"
"Invalid data","Dados inválidos"
"Disabled","Desabilitado"
"Disable Onepage Checkout","Desabilitar finalizar compra em uma página"
"Sorry, guest checkout is not enabled. Please try again or contact store owner.","Desculpe, finalizar compra como visitante não está disponível. Por favor, tente novamente ou contate o gerente da loja."
"Sorry, Onepage Checkout is disabled.","Desculpe, finalizar compra em uma página está desabilitado."
"Sorry, no quotes are available for this order at this time.","Desculpe, nenhuma cotação está disponível para este pedido no momento."
"Details","Detalhes"
"Payment Failed Email Sender","E-mail de envio de erro no Pagamento"
"Payment Failed Email Reciever","E-mail de recebimento de erro no pagamento"
"Payment Failed Emails","E-mails de erro no pagamento"
"Edit","Editar"
"Edit Address","Editar endereço"
"Edit Billing Address","Editar endereço de cobrança"
"Edit Shipping Address","Editar endereço de envio"
"Edit Items","Editar itens"
"Edit Your Cart","Editar seu carrinho"
"Edit Terms and Conditions","Editar termos e condições"
"Company","Empresa"
"Street Address ","Endereço "
"Street Address","Endereço"
"Address","Endereço"
"Address %s of %s","Endereço %s de %s"
"Billing Address","Endereço de cobrança"
"Email Address","Endereço de e-mail"
"Invalid email address ""%s""","Endereço de e-mail inválido ""%s"""
"Shipping Address","Endereço de envio"
"Customer Address is not valid.","Endereço do cliente não é válido."
"Login","Entrar"
"Submitting order information...","Enviando informações do pedido..."
"Shipping to","Enviando para"
"Send Payment Failed Email Copy To","Enviar cópia de e-mail de erro no pagamento para"
"Send to","Enviar para"
"Ship to different address","Enviar para endereços diferentes"
"Ship to this address","Enviar para este endereço"
"Ship to Multiple Addresses","Enviar para múltiplos endereços"
"Default Shipping","Envio padrão"
"Load customer quote error","Erro ao carregar a cotação do cliente"
"Error while deleting this condition. Please try again later.","Erro ao excluir essa condição. Por favor, tente novamente mais tarde."
"Error while saving this condition. Please try again later.","Erro ao salvar esta condição. Por favor, tente novamente mais tarde."
"Forgot an Item?","Esqueceu algum item?"
"Forgot your password?","Esqueceu sua senha?"
"This condition no longer exists","Essa condição não existe mais"
"State/Province","Estado"
"Estimate Shipping and Tax","Estimativa de frete e imposto"
"Excl. Tax","Excl. imposto"
"Delete Condition","Excluir condição"
"Maximum display Recently added item(s)","Exibição máxima de itens recentemente adicionados"
"There is <a href=""%s""><strong>1 item</strong></a> in your cart.","Existe <a href=""%s""><strong>1 item</strong></a> em seu carrinho."
"There are <a href=""%s""><strong>%s items</strong></a> in your cart.","Existem <a href=""%s""><strong>%s itens</strong></a> em seu carrinho."
"Default Billing","Faturamento padrão"
"Fax","Fax"
"Close","Fechar"
"Fast and easy check out","Finalização de compra rápida e fácil"
"Checkout","Finalizar compra"
"Proceed to Checkout","Finalizar compra"
"Place Order","Finalizar compra"
