"* Required Fields","* Campos obrigatórios"
"Comment","Comentários"
"Contacts","Contatos"
"Email","E-mail"
"Submit","Enviar"
"Send Emails To","Enviar e-mail para"
"Contact Us","Fale conosco"
"Contact Form","Formulário de contato"
"Enable Contact Us","Habilitar fale conosco"
"Contact Information","Informações de contato"
"Email Template","Modelo de e-mail"
"Unable to submit your request. Please, try again later","Não foi possível enviar sua mensagem. Por favor, tente novamente mais tarde"
"Name","Nome"
"Email Options","Opções de e-mail"
"Email Sender","Remetente do e-mail"
"Contacts Section","Seção de contatos"
"Your inquiry was submitted and will be responded to as soon as possible. Thank you for contacting us.","Sua dúvida foi enviada e será respondida o mais rápido possível. Obrigado por entrar em contato."
"Telephone","Telefone"
