"Schedule ahead for","Agendado adiante para"
"Invalid callback: %s::%s does not exist","Callback inválido: %s::%s não existe"
"Cron (Scheduled Tasks) - all the times are in minutes","Cron (tarefas agendadas) – todos os horários são em minutos"
"Invalid model/method definition, expecting ""model/class::method"".","Definição modelo/método inválido, esperando ""model/class::method""."
"Daily","Diariamente"
"Unknown error","Erro desconhecido"
"Generate schedules every","Gerar horários a cada"
"Unable to save Cron expression","Impossível salvar expressão de cron"
"History cleanup every","Limpar histórico a cada"
"Monthly","Mensal"
"Too late for the schedule","Não é possível agendar no momento"
"No callbacks found","Nenhum callback encontrado"
"For correct URLs generated during cron runs please make sure that Web > Secure and Unsecure Base URLs are explicitly set.","Para gerar os URLs corretamente durante execuções da cron, por favor, tenha certeza que os URLs Web > seguro e não-seguro estão configurados corretamente."
"Missed if not run within","Perdido se não executado dentro de"
"Weekly","Semanal"
"Failure history lifetime","Tempo de vida do histórico de falhas"
"Success history lifetime","Tempo de vida do histórico de sucesso"
