"Invalid alias, already exists in joined attributes","Apelido inválido, já existe em atributos associados"
"Attribute '%s' used in configurable products.","Atributo '%s' usado em produtos configuráveis."
"Attribute with the same code","Atributo com o mesmo código"
"Invalid attribute requested: %s","Atributo solicitado inválido: %s"
"Attribute used in configurable products.","Atributo usado em produtos configuráveis."
"Joined field with this alias (%s) is already declared","Campo associado com este apelido (%s) já foi declarado"
"Joined field with this alias is already declared","Campo associado com este apelido já foi declarado"
"Joined field or attribute expression with this alias is already declared","Campo associado ou expressão de atributo com este apelido já foi declarado"
"Invalid joined fields","Campos associados inválidos"
"Invalid character encountered in increment ID: %s","Caractere inválido encontrado no ID de incremento: %s"
"Loaded %d records","Carregados %d registros"
"Invalid foreign key","Chave estrangeira inválida"
"Invalid data object key","Chave inválida do objeto de dados"
"Entity collection expected","Coleção de entidade esperada"
"Entity collections expected","Coleções de entidades esperadas"
"EAV types and attributes","EAV tipos e atributos"
"Invalid entity specified","Entidade especificada inválida"
"Invalid entity supplied","Entidade fornecida inválida"
"Invalid entity supplied: %s","Entidade fornecida inválida: %s"
"Entity is not initialized","Entidade não foi inicializada"
"Invalid entity_id, skipping the record","entity_id inválido, parando a gravação"
"Invalid entity_type specified: %s","entity_type especificado inválido: %s"
"Scope must not be changed, because the attribute is used in configurable products.","Escopo não deve ser alterado, pois o atributo é usado em produtos configuráveis."
"Failed to load node %s from config.","Falhou ao carregar nodo %s da configuração."
"Wrong attribute ID","ID de atributo incorreto"
"Wrong entity ID","ID de entidade incorreto"
"Wrong attribute group ID","ID incorreto para grupo de atributos"
"Wrong attribute set ID","ID incorreto para grupo de atributos"
"Data integrity: No header row found for attribute","Integridade de dados: nenhuma linha de cabeçalho encontrada para atributo"
"Attribute set with the ""%s"" name already exists","Já existe grupo de atributos com o nome ""%s"""
"Invalid store specified","Loja especificada inválida"
"No","Não"
"No options found in config node %s","Nenhuma opção encontrada no nodo de configuração %s"
"Invalid attribute name: %s","Nome inválido de atributo: %s"
"The attribute code '%s' is reserved by system. Please, try another attribute code.","O código de atributo '%s' é reservado pelo sistema. Por favor, tente outro código de atributo."
"Default Product Listing Sort by not exists on Available Product Listing Sort by","Ordenação padrão de listagem de produtos não existe na listagem de produtos disponíveis para ordenar"
"Unknown parameter","Parâmetro desconhecido"
"Problem loading the collection, aborting. Error: %s","Problema ao carregar a coleção, abortando. Erro: %s"
"Problem loading a record, aborting. Error: %s","Problema ao carregar um registro, abortando. Erro: %s"
"Problem saving the collection, aborting. Error: %s","Problema ao salvar a coleção, abortando. Erro: %s"
"Problem saving a record, aborting. Error: ","Problema ao salvar um registro, abortando. Erro: "
"Frontend label is not defined","Rótulo de frontend não foi definido"
"Saved ","Salvo "
"Yes","Sim"
"Valid store_id is expected!","store_id válido é esperado!"
"Attempt to add an invalid object","Tentativa de adicionar um objeto inválido"
"Invalid attribute type","Tipo inválido de atributo"
"Invalid entity type","Tipo inválido de entidade"
"Value of attribute ""%s"" must be unique","Valor do atributo ""%s"" deve ser único"
"Default option value is not defined","Valor padrão de opção não está definido"
