"* Select shipping method","* Selecione o método de envio"
"Add","Adicionar"
"Add Shipping Method","Adicionar método de envio"
"Google order status change:","Alteração de status do pedido no Google:"
"Default Package Height (in)","Altura padrão do pacote (cm)"
"Google API","API do Google"
"Latest Charge: %s","Última cobrança: %s"
"Latest Refund: %s","Último reembolso: %s"
"Google Authorization:","Autorização do Google:"
"AVS Status: %s","AVS status: %s"
"Delivery Address Category","Categoria do endereço de envio"
"CC Partial: xxxx-%s","CC parcial: xxxx-%s"
"Merchant Key","Chave do comerciante"
"CID Status: %s","CID status: %s"
"Is Buyer Willing To Receive Marketing E-Mails: %s","Cliente deseja receber e-mails de marketing: %s"
"Google Charge:","Cobrador do Google:"
"Default Package Length (in)","Comprimento padrão do pacote (cm)"
"Debug","Debug"
"Disable Default Tax Tables","Desabilitar tabelas padrões de impostos"
"Cart Discount","Desconto do carrinho"
"Eligible for protection: %s","Elegível para proteção: %s"
"IP Address: %s","Endereço IP: %s"
"Delivery schedule","Envio agendado"
"Google Checkout Shipping - Merchant Calculated","Envio do Google Checkout - comerciante calculado"
"Google Checkout Shipping - Digital Delivery","Envio do Google Checkout - entrega digital"
"Google Checkout Shipping - Flat Rate","Envio do Google Checkout - taxa básica"
"Google Checkout Shipping - Carrier Calculated","Envio do Google Checkout – transporte calculado"
"Free Shipping","Envio gratuito"
"Hide Cart Contents During Checkout","Esconder conteúdo do carrinho durante o finalização da compra"
"United States","Estados Unidos"
"Checkout Image Style","Estilo de imagem de fechamento da compra"
"Expiration: %s","Expiração: %s"
"Invoice auto-created: %s","Fatura criada automaticamente: %s"
"Financial: %s -> %s","Financeiro: %s -> %s"
"White Background","Fundo branco"
"Auto-generated from GoogleCheckout Charge","Gerado automaticamente pelo cobrador do Google Checkout"
"Google Checkout","Google Checkout"
"Google Checkout: %s","Google Checkout: %s"
"Google Refund:","Google reembolso:"
"Enable","Habilitar"
"Enable Merchant Calculated","Habilitar comerciante calculado"
"Enable Digital Delivery","Habilitar entrega digital"
"Enable this if your checkout request is too big and being cut off.","Habilitar isto se a solicitação para finalizar compra é muito grande e está sendo cancelado."
"Enable Flat Rate","Habilitar taxa básica"
"Enable Carrier Calculated","Habilitar transporte calculado"
"Merchant ID","ID do comerciante"
"Google Buyer Id: %s","ID do comprador no Google: %s"
"Buyer account age: %s days","Idade da conta do comprador: %s dias"
"Google Risk Information:","Informações de risco do Google:"
"Virtual item to reflect discount total","Item virtual para refletir desconto total"
"Default Package Width (in)","Largura padrão do pacote (cm)"
"Location","Localização"
"Large - %s","Maior - %s"
"Medium - %s","Médio - %s"
"Method","Método"
"Carrier Calculated Methods","Métodos de transporte calculado"
"Allowed Methods","Métodos permitidos"
"No","Não"
"Google Order Number: %s","Número de pedido no Google: %s"
"Required for live Google Checkout transactions.","Obrigatório para transações do Google Checkout"
"Optional, leave empty for home page.","Opcional, deixe vazio para página principal."
"Small - %s","Pequeno - %s"
"Fulfillment: %s -> %s","Perfeição no atendimento ao cliente (fulfillment): %s -> %s"
"Default price for methods","Preço padrão para métodos"
"Default price:","Preço padrão:"
"Amount: %s","Quantia: %s"
"United Kingdom","Reino Unido"
"Remove","Remover"
"Sandbox","Sandbox"
"If enabled, cart contents will be hidden after clicking on the Google Checkout button in the shopping cart, and restored if ""Edit Cart"" link was activated.","Se habilitado, o conteúdo do carrinho será escondido depois de clicar no botão do Google Checkout no carrinho de compras, e restaurado se o link ""editar carrinho"" for ativado."
"New order status","Status de pedido novo"
"Rate 1 Ship to Specific Countries","Taxa de envio 1 para para países específicos"
"Rate 1 Ship To Applicable Countries","Taxa de envio 1 para para países permitidos"
"Rate 2 Ship to Specific Countries","Taxa de envio 2 para para países específicos"
"Rate 2 Ship To Applicable Countries","Taxa de envio 2 para para países permitidos"
"Rate 3 Ship to Specific Countries","Taxa de envio 3 para para países específicos"
"Rate 3 Ship To Applicable Countries","Taxa de envio 3 para para países permitidos"
"Rate 1 Title","Título da taxa 1"
"Rate 2 Title","Título da taxa 2"
"Rate 3 Title","Título da taxa 3"
"Total Charged: %s","Total cobrado: %s"
"Total Refunded: %s","Total reembolsado: %s"
"Transparent","Transparente"
"Continue Shopping URL","URL de continuar comprando"
"Secure Callback URL","URL seguro do callback"
"Rate 1 Amount","Valor da taxa 1"
"Rate 2 Amount","Valor da taxa 2"
"Rate 3 Amount","Valor da taxa 3"
"You will be redirected to GoogleCheckout in a few seconds.","Você será redirecionado para o Google Checkout em alguns segundos."
