"(Optional. Leave blank for no prefix)","(Opcional. Deixe em branco para sem prefixo)"
"(Make sure you keep it in a safe place.)","(Tenha certeza de manter isto em um lugar seguro.)"
"(ver. %s)","(ver. %s)"
"Help Us to Keep Magento Healthy","Ajude-nos a manter a qualidade do Magento"
"Alternatively you could try the 'Manual Downloads and Upgrades' method.","Alternativamente você pode tentar o método 'downloads e atualizações manuais'."
"Before you continue to your store, please make a note of your encryption key (Magento uses it to encrypt passwords, credit cards and more).","Antes de você continuar com a sua loja, por favor, crie uma nota da sua chave de criptografia (Magento usa para criptografar senhas, cartões de créditos e outros)."
"After successfull installation please click the button below.","Após instalação bem sucedida, por favor, clique no botão abaixo."
"File system","Arquivo de sistema"
"Magento Installation Wizard","Assistente de instalação do Magento"
"Currently this is the most stable state available for Magento packages.","Atualmente esta é versão disponível mais estável dos pacotes do Magento."
"Downloading and installing Magento, please wait...","Baixando e instalando o Magento, por favor aguarde..."
"Download","Baixar"
"Download Magento Core Modules and Updates","Baixar módulos principais e atualizações do Magento"
"Database","Banco de dados"
"Welcome to Magento's Installation Wizard","Bem-vindo ao assistente de instalação do Magento"
"Path ""%s"" must be writable","Caminho ""%s"" deve ter permissão de escrita"
"Additional path added after Base URL to access your Administrative Panel (e.g. admin, backend, control etc.).","Caminho adicionado depois do URL base para acessar o painel de administração (ex: admin, backend, control, etc.)."
"Admin Path","Caminho da administração"
"Required Fields","Campos obrigatórios"
"Encryption Key","Chave de criptografia"
"Connection","Conexão"
"Database Connection","Conexão com banco de dados"
"Configuration","Configuração"
"Locale settings","Configurações de localidade"
"Check out our","Confira nosso"
"Password Confirmation","Confirmação de senha"
"Confirm Password","Confirmacão de senha"
"Continue","Continuar"
"Continue After Manual Download","Continuar após download manual"
"Proceed With Automatic Download (%s)","Continuar com download automático (%s)"
"Continue Full Download / SVN Installation","Continuar download completo / Instalação de SVN"
"Create Admin Account","Criar conta de administrador"
"Setting preferred state to: %s","Definindo estado preferido para: %s"
"Full Download / SVN Installation","Download completo / Instalação de SVN"
"Manual Downloads and Upgrades","Downloads e atualizações manuais"
"Email","E-mail"
"In other cases you will need to make Magento files writeable for the user that the web server process is running under.","Em outros casos você precisará dar permissões de escrita aos arquivos do Magento para o usuário que executa os processos web do servidor."
"Email Address","Endereço de e-mail"
"Database connection error","Erro de conexão ao banco de dados"
"Choose this if you would like to test frontend and backend functionality.","Escolha este se você deseja testar a funcionabilidade do frontend e backend."
"Preferred stability: %s","Estabilidade preferida: %s"
"This Url is invalid","Este URL é inválido"
"I agree to the above terms and conditions","Eu concordo com os termos e condições acima"
"PHP Extension ""%s"" must be loaded","Extensão PHP ""%s"" deve ser carregada"
"PHP Extension '%s' loaded","Extensão PHP '%s' carregada"
"Provide a complete base URL for SSL connection. For example: %s","Forneça uma URL base completa para conexão SSL. Por exemplo: %s"
"Time Zone","Fuso horário"
"Package Management through the Web","Gerenciamento de pacotes através da web"
"Installation Guide","Guia de instalação"
"Enable this option only if you have SSL available.","Habilitar esta opção somente se você tem SSL disponível."
"Login Information","Informações de entrada"
"Personal Information","Informações pessoais"
"Installation","Instalação"
"Go to Backend","Ir para o backend"
"Go to Frontend","Ir para o frontend"
"Locale","Localidade"
"Localization","Localização"
"Magento","Magento"
"Magento is a trademark of Irubin Consulting Inc. DBA Varien. Copyright &copy; %s Irubin Consulting Inc.","Magento é uma marca registrada de Irubin Consulting Inc. DBA Varien. Copyright &copy; %s Irubin Consulting Inc."
"Magento uses this key to encrypt passwords, credit cards and more. If this field is left empty the system will create an encryption key for you and will display it on the next page.","Magento usa esta chave para criptografar senhas, cartões de crédito e mais. Se este campo for deixado em branco o sistema criará uma chave de criptografia para você e a mostrará na página seguinte."
"Default Currency","Moeda padrão"
"First Name","Nome"
"User Name","Nome de usuário"
"Database Name","Nome do banco de dados"
"Database user name","Nome do usuário de banco de dados"
"There was a problem installing Magento packages. Please read the log, correct errors and retry again.","Ocorreu um problema ao instalar pacotes de Magento. Por favor acesse o log, corrija os erros e tente novamente."
"Web access options","Opções de acesso web"
"Session storage options","Opções de armazenamento de sessão"
"Please set all required settings before clicking Continue","Por favor, defina todas as configurações obrigatórias antes de clicar em continuar"
"Please note that it is much less stable than beta.","Por favor, note que isto é muito menos estável que beta."
"Please note that only UNIX, Linux and Mac OSX shells are currently supported. For Windows use the '%s' option.","Por favor, note que somente UNIX, Linux e Mac OSX shells são suportados atualmente. Para Windows use a opção '%s'."
"Please make sure that <code>mod_rewrite</code> is enabled in Apache configuration.","Por favor, tenha certeza que <code>mod_rewrite</code> está habilitado na configuração do Apache."
"Table prefix should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter","Prefixo de tabela deve conter somente letras (a-z), números (0-9) ou underscore(_) e o primeiro caractere deve ser uma letra"
"Tables Prefix","Prefixo de tabelas"
"Get ready to experience Open-Source eCommerce Evolved.","Prepare-se para experimentar uma evolução em eCommerce com código aberto."
"Skip Base URL validation before next step","Pular validação da URL base antes do próximo passo"
"Skip Secure URL validation before next step","Pular validação de URL segura antes do próximo passo"
"Report All Bugs","Reportar todos os bugs"
"Run admin interface with SSL","Rodar interface admin com SSL"
"Run this in your shell from Magento root folder:","Rode isto no seu shell na pasta raiz do Magento:"
"Save session files in","Salvar arquivos de sessão em"
"Save session data in","Salvar dados de sessão em"
"If your server is running on MS Windows, most probably you will not need to change anything.","Se o seu servidor está rodando em MS Windows, você provavelmente não precisará alterar nada."
"If you have downloaded the full package or installed Magento through SVN, you should skip packages installation and validation by clicking the button below.","Se você baixou o pacote completo ou instalou o Magento através de SVN, você deve pular a instalação e validação de pacotes ao clicar no botão abaixo."
"If you wish to manage Magento packages through the web admin interface, you will need to have web writeable permissions applied to all Magento folders and files.","Se você deseja gerenciar os pacotes do Magento através da interface web de admin, você precisará ter permissões de escrita web aplicadas a todos os diretórios e arquivos do Magento."
"If you are running install wizard over previously downloaded and installed Magento installation, proceed with this method.","Se você está rodando o assistente de instalação com alguma instalação baixada anteriormente do Magento, continue com este método."
"If you are running PHP as CGI, your PHP processes may run under the same user as the user you used when uploading Magento files.","Se você está rodando PHP como CGI, os seus processos PHP podem rodar com o mesmo usuário que você usou para carregar os arquivos do Magento."
"If you are a developer and would like to have the latest public updates, choose this option.","Se você for um desenvolvedor e gostaria de ter as últimas atualizações públicas, escolha esta opção."
"If you do not wish or are not able to have Magento folders writeable for the web process, you could use PEAR executable located in the root of Magento installation.","Se você não deseja ou não consegue configurar os diretórios do Magento com permissão de escrita para o processo web, você pode usar o executável PEAR localizado na raiz da instalação do Magento."
"Check this box only if it is not possible to automatically validate Secure URL, for example if HTTP authentication is required.","Selecione esta caixa se não for possível validar automaticamente o URL seguro, por exemplo, se autenticação HTTP é obrigatória."
"Check this box only if it is not possible to automatically validate Base URL.","Selecione esta caixa somente se não for possível validar automaticamente o URL base."
"Password","Senha"
"User Password","Senha de usuário"
"Database user password","Senha do usuário do banco de dados"
"Host","Servidor"
"Database host","Servidor do banco de dados"
"Database server does not support InnoDB storage engine","Servidor do banco de dados não suporta mecanismo de armazenamento InnoDB"
"Last Name","Sobrenome"
"Having trouble installing Magento?","Tendo problemas ao instalar o Magento?"
"All packages were installed successfully, click 'Ok' to continue with installation","Todos pacotes foram instalados com sucesso, clique 'Ok' para continuar com a instalação"
"One from PHP Extensions ""%s"" must be loaded","Uma das extensões PHP ""%s"" deve ser carregada"
"Url ""%s"" is invalid","URL ""%s"" é inválido"
"Url ""%s"" is not accessible","URL ""%s"" não está acessível"
"Base URL","URL base"
"Secure Base URL","URL de base segura"
"Use Web Server (Apache) Rewrites","Usar servidor web (Apache) rewrites"
"Use Secure URLs (SSL)","Usar URLs seguras (SSL)"
"Username","Utilizador"
"Database server version does not match system requirements (required: %s, actual: %s)","Versão do servidor de banco de dados não atinge os requerimentos do sistema (requerido: %s, atual: %s)"
"You're All Set","Você está pronto"
"You can specify server port, ex.: localhost:3307<br />If you are not using default UNIX socket, you can specify it here instead of host, ex.: /var/run/mysqld/mysqld.sock","Você pode especificar a porta do servidor, ex.: localhost:3307<br />Se você não está usando o socket UNIX padrão, você pode especificar isto aqui em vez do servidor, ex.: /var/run/mysqld/mysqld.sock"
"You could enable this option to use web server rewrites functionality for improved search engines optimization.","Você pode habilitar esta opção para usar a funcionalidade de servidor web rewrites melhorado a otimização dos mecanismos de busca."
