" Copy"," Copiar"
"The subscription was successfully saved","A assinatura foi salva com sucesso"
"Action","Ação"
"Add to Queue","Adicionar a fila"
"Add New Template","Adicionar novo modelo"
"Subscribed","Assinado"
"Subscriber","Assinante"
"Subscribers","Assinantes"
"Selected problem subscribers successfully unsubscribed","Assinantes com problemas selecionados foram cancelados com sucesso"
"Subscribers From","Assinantes de"
"Newsletter Subscribers","Assinantes do boletim informativo"
"Subscribe","Assinar"
"Newsletter Sign-up","Assinar boletim informativo"
"Unsubscribed","Assinatura cancelada"
"Newsletter Subscription","Assinatura do boletim informativo"
"Newsletter subscription success","Assinatura do boletim informativo realizada com sucesso"
"Newsletter Subscriptions","Assinaturas do boletim informativo"
"Subject","Assunto"
"Queue Subject","Assunto da fila"
"Template Subject","Assunto do modelo"
"Newsletter","Boletim informativo"
"Queue Newsletter","Boletim informativo da fila"
"Cancelled","Cancelado"
"Newsletter unsubscription success","Cancelamento do boletim informativo realizado com sucesso"
"Cancel","Cancelar"
"Unsubscribe","Cancelar assinatura"
"Error Code","Código de erro"
"Invalid subscription confirmation code","Código inválido de confirmação de assinatura"
"Customer","Cliente"
"Newsletter subscription confirmation","Confirmação da assinatura do boletim informativo"
"Template Content","Conteúdo do modelo"
"Resume","Continuar"
"Convert to Plain Text","Converter para texto"
"Create Newsletter Template","Criar modelo do boletim informativo"
"Date Added","Data adicionada"
"Date Updated","Data de atualização"
"Queue Date Start","Data de início da fila"
"Set Return-Path","Definir caminho-retorno"
"Recipients","Destinatários"
"Duplicate of template code","Duplicação do código de modelo"
"Email","E-mail"
"Sender Email","E-mail do remetente"
"Edit Newsletter","Editar boletim informativo"
"Edit Queue","Editar fila"
"Edit Template","Editar modelo"
"Edit Newsletter Template","Editar modelo do boletim informativo"
"Sent","Enviado"
"Sending","Enviando"
"Sending Options","Enviando opções"
"Delete Template","Excluir modelo"
"Delete Selected Problems","Excluir problemas selecionados"
"Newsletter Queue","Fila do boletim informativo"
"Invalid queue selected","Fila inválida selecionada"
"Form was filled incorrectly","Formulário foi preenchido incorretamente"
"ID","ID"
"Invalid subscriber ID","ID inválido de assinante"
"Invalid subscription ID","ID inválido de assinatura"
"Start","Início"
"Queue Start","Início da fila"
"Queue Information","Informações da fila"
"Template Information","Informações do modelo"
"Sign up for our newsletter:","Informe o seu e-mail:"
"Sign me up","Inscrever-me"
"Enter your email address","Insira seu endereço de e-mail"
"Store","Loja"
"Message","Mensagem"
"Unsubscription Email Template","Modelo de e-mail de cancelamento de assinatura"
"Confirmation Email Template","Modelo de e-mail de confirmação"
"Success Email Template","Modelo de e-mail de sucesso"
"Newsletter Templates","Modelos de boletim informativo"
"Not activated","Não ativado"
"Not Sent","Não enviado"
"Cannot delete subscriber","Não foi possível excluir assinante"
"Cannot delete template","Não foi possível excluir modelo"
"Cannot mark as received subscriber","Não foi possível marcar como assinante recebido"
"Cannot save your subscription: %s","Não foi possível salvar sua assinatura: %s"
"No subscribers selected","Nenhum assinante selecionado"
"No Templates Found","Nenhum modelo encontrado"
"No problems found","Nenhum problema encontrado"
"Customer Firstname","Nome do cliente"
"Template Name","Nome do modelo"
"Sender Name","Nome do remetente"
"New Template","Novo modelo"
"New Newsletter Template","Novo modelo de boletim informativo"
"Thank you for your subscription","Obrigado pela sua assinatura"
"There was an error while saving your subscription","Ocorreu um erro ao salvar sua assinatura"
"There was a problem with the subscription","Ocorreu um problema com a assinatura"
"There was a problem with the subscription: %s","Ocorreu um problema com a assinatura: %s"
"There was a problem with the un-subscription.","Ocorreu um problema com o cancelamento da assinatura."
"Subscription Options","Opções de assinatura"
"Paused","Parado"
"Pause","Pausar"
"Please enter new template name","Por favor, insira nome do novo modelo"
"Please enter a valid email address","Por favor, insira um endereço de e-mail válido"
"Please select subscriber(s)","Por favor, selecione assinante(s)"
"Need to Confirm","Precisa confirmar"
"Selected problems successfully deleted","Problemas selecionados excluídos com sucesso"
"Processed","Processado"
"Reset","Redefinir"
"Newsletter Problem Reports","Relatórios de problemas do boletim informativo"
"Sender","Remetente"
"Confirmation Email Sender","Remetente de e-mail de confirmação"
"Success Email Sender","Remetente de e-mail de sucesso"
"Unsubscription Email Sender","Remetente do e-mail de cancelamento de assinatura"
"Return Html Version","Retornar versão HTML"
"Save Newsletter","Salvar boletim informativo"
"Save As","Salvar como"
"Save And Resume","Salvar e continuar"
"Save Template","Salvar modelo"
"Newsletter Section","Seção de boletim informativo"
"Unsubscribe Selected","Selecionado cancelar assinatura"
"Customer Lastname","Sobrenome do cliente"
"Confirmation request has been sent","Solicitação de confirmação foi enviada"
"Status","Status"
"You have been successfully unsubscribed.","Sua assinatura foi cancelada com sucesso."
"Your subscription was successfully confirmed","Sua assinatura foi confirmada com sucesso"
"Queue Finish","Término da fila"
"Error Text","Texto de erro"
"Type","Tipo"
"Template Type","Tipo de modelo"
"Toggle Editor","Trocar editor"
"View Newsletter","Ver boletim informativo"
"Store View","Visão da loja"
"Guest","Visitante"
"Preview","Visualização"
"Newsletter Message Preview","Visualizar mensagem do boletim informativo"
"Preview Template","Visualizar modelo"
"Do you really want to cancel the queue?","Você realmente deseja cancelar a fila?"
"Are you sure that you want to delete this template?","Você tem certeza que deseja excluir este modelo?"
"Are you sure that you want to strip all tags?","Você tem certeza que deseja remover todas as tags?"
"Back","Voltar"
"Website","Website"
