"Update Shipping Method","Atualizar método de envio"
"PayPal Account","Conta PayPal"
"Sorry, no quotes are available for this order at this time.","Desculpe, nenhuma cotação está disponível para este pedido no momento."
"Email","E-mail"
"PayPal Email","E-mail PayPal"
"Edit Shopping Cart","Editar carrinho de compras"
"Shipping Address","Endereço de envio"
"Submitting order information...","Enviando informações do pedido..."
"Incl. Tax","Incl. imposto"
"Billing Information","Informações de cobrança"
"Shipping Information","Informações de envio"
"Items in Your Shopping Cart","Itens no seu carrinho de compras"
"Shipping Method","Método de envio"
"No shipping method required.","Método de envio não requerido."
"Payment Method","Método de pagamento"
"Product Name","Nome do produto"
"Please select a shipping method...","Por favor, selecione um método de envio..."
"Price","Preço"
"Qty","Qtde"
"Place an Order","Realizar pedido"
"Review Order","Rever pedido"
"Your billing address will be ignored and you will be redirected to PayPal website","Seu endereço de cobrança será ignorado e você será redirecionado para o website do PayPal"
"Subtotal","Subtotal"
"Change Shipping Address","Trocar endereço de envio"
"Change Payment Method","Trocar método de pagamento"
"You will be redirected to Paypal in a few seconds.","Você será redirecionado para o PayPal em alguns segundos."
"You will be redirected to PayPal website when you place an order.","Você será redirecionado para o website do PayPal quando realizar um pedido."
