"Action","Ação"
"Add to Cart","Adicionar ao carrinho"
"Add to Wishlist","Adicionar à lista de desejos"
"Add to Compare","Adicionar para comparação"
"Review","Análise"
"Year","Ano"
"Last Review","Última análise"
"Updated at","Atualizado em"
"Rate","Avaliação"
"Shopping Cart","Carrinho de compras"
"Carts","Carrinhos"
"Abandoned carts","Carrinhos abandonados"
"Avg. rating","Classificação média"
"Customer","Cliente"
"Customers","Clientes"
"Customers by number of orders","Clientes por número de pedidos"
"Customers by orders total","Clientes por total de pedidos"
"Customers that have wishlist: %s%","Clientes que tem lista de desejos: %s%"
"Bought from wishlists","Comprados da lista de desejos"
"Purchases","Compras"
"Default Recently Compared Products count","Contagem padrão de produtos comparados recentemente"
"Default Recently Viewed Products count","Contagem padrão de produtos visualizados recentemente"
"Created at","Criado em"
"CSV","CSV"
"Applied Coupon","Cupom aplicado"
"Coupons","Cupons"
"Invalid date specified","Data especificada inválida"
"Discounts","Descontos"
"Detail","Detalhe"
"Tag Detail","Detalhe da tag"
"Tag ""%s"" details","Detalhes da tag ""%s"""
"Day","Dia"
"Downloads","Downloads"
"Email","E-mail"
"Submitted On","Enviado em"
"Submitted In","Enviado em"
"Shipping","Envio"
"Out of stock","Esgotado"
"Low stock","Estoque baixo"
"Excel","Excel"
"Invoiced","Faturado"
"ID","ID"
"Product Sku","ID do produto"
"Tax","Imposto"
"Items in Cart","Itens no carrinho"
"Items Ordered","Itens pedidos"
"Link","Link"
"Wishlists","Lista de desejos"
"Wishlist vs. Regular Order","Lista de desejos x Pedido regular"
"Bestsellers","Mais vendidos"
"Most Viewed","Mais visitados"
"Most viewed","Mais visitados"
"Avg. approved rating","Média de classificação aprovada"
"Month","Mês"
"Show for Current","Mostrar atual"
"Number Added","Número adicionado"
"Number Purchased","Número comprado"
"Number of wishlist conversions: %s","Número de conversões da lista de desejos: %s"
"Number Of Historical Uses","Número de histórico de usos"
"Number of Items","Número de itens"
"Number of items bought from a wishlist: %s","Número de itens comprados da lista de desejos: %s"
"Number of wishlists: %s","Número de listas de desejos: %s"
"Number of New Accounts","Número de novas contas"
"Number of Reviews","Número de opiniões"
"Number Of Reviews","Número de opiniões"
"Number of Orders","Número de pedidos"
"Number of Ivoiced Orders","Número de pedidos faturados"
"Number of Refunded Orders","Número de pedidos reembolsados"
"Number of wishlist referrals: %s","Número de referências da lista de desejos: %s"
"Number of Unique Tags","Número de tags únicas"
"Number Of Uses","Número de usos"
"Number of times wishlists have been shared (emailed): %s","Número de vezes que a lista de desejos foi compartilhada (enviado por e-mail): %s"
"Number of times deleted","Número de vezes removido"
"Number of Views","Número de visitas"
"Number Viewed","Número de visualizações"
"Number Fulfilled","Número preenchido"
"Number of Total Tags","Número total de tags"
"Name","Nome"
"First Name","Nome"
"Tag Name","Nome da tag"
"Customer Name","Nome do cliente"
"Product Name","Nome do produto"
"New Accounts","Novas contas"
"Hits","Ocorrências"
"Customers Reviews","Opinião de clientes"
"Reviews","Opiniões"
"Product Reviews","Opiniões do produto"
"Products Reviews","Opiniões dos produtos"
"Reviews for %s","Opiniões para %s"
"Orders","Pedido"
"Popularity","Popularidade"
"Price","Preço"
"Products","Produtos"
"Recently Compared Products","Produtos comparados recentemente"
"Products in carts","Produtos no carrinho"
"Products Sold","Produtos vendidos"
"Recently Viewed Products","Produtos visualizados recentemente"
"Recently Viewed/Compared Products","Produtos visualizados/comparados recentemente"
"Quantity of Items","Quantidade de itens"
"Stock Qty","Quantidade em estoque"
"Quantity Ordered","Quantidade pedida"
"Revenue","Receita"
"Refunded","Reembolsado"
"Offline Refunded","Reembolso offline"
"Online Refunded","Reembolso online"
"Wishlist Report","Relatório de lista de desejos"
"Sales Report","Relatório de vendas"
"Products Report","Relatório dos produtos"
"Poducts Report","Relatório dos produtos"
"Reports","Relatórios"
"Customers Report","Relatórios de clientes"
"Results","Resultados"
"Last Name","Sobrenome"
"Your Recently Compared","Suas últimas comparações"
"Your Recently Viewed","Suas últimas visualizações"
"Subtotal","Subtotal"
"Tag","Tag"
"Customer Tags","Tags do cliente"
"Product Tags","Tags do produto"
"Customers Tags","Tags dos clientes"
"Products Tags","Tags dos produtos"
"Tags submitted to %s","Tags enviadas para %s"
"Tags submited by %s","Tags enviadas por %s"
"Popular Tags","Tags populares"
"Title","Título"
"Search Terms","Termos de busca"
"Total","Total"
"Total Tags","Total de tags"
"Total Shipping","Total enviado"
"Total invoiced","Total faturado"
"Total Invoiced","Total faturado"
"Total Invoiced Captured","Total faturado capturado"
"Total Invoiced not Captured","Total faturado não capturado"
"Total refunded","Total reembolsado"
"Total Refunded","Total reembolsado"
"Carrier/Method","Transportadora/Método"
"Tag use","Uso da tag"
"Tax Amount","Valor de imposto"
"Sales","Vendas"
"Visible In","Visível em"
"Guest","Visitante"
