" The customer doesn't exist in the system anymore"," O cliente não existe mais no sistema"
"""%s"" coupon code is not valid.","""%s"" código do cupom não é válido."
"%s / %s rate:","%s / %s taxa:"
"%s order(s) successfully canceled","%s compra(s) cancelada(s) com sucesso"
"%s order(s) successfully put on hold","%s compra(s) foram(ram) colocada(s) em processamento com sucesso"
"%s order(s) successfully released from holding status","%s compra(s) liberada(s) com sucesso"
"%s for %s","%s para %s"
"* - Enter custom price including tax","* - Digite o preço com imposto"
"* - Enter custom price excluding tax","* - Digite o preço sem imposto"
"Action","Ação"
"Hold action is not available","Ação de segurar não está disponível"
"Actions","Ações"
"Add","Adicionar"
"Add To Order","Adicionar a compra"
"Add to Cart","Adicionar ao carrinho"
"Add comment to order","Adicionar comentário à compra"
"Add Order Comments","Adicionar comentário de compra"
"Add Gift Messsage","Adicionar mensagem de presente"
"Add Tracking Number","Adicionar número de rastreamento"
"Add new comment to shipment","Adicionar novo comentário à postagem"
"Add New Address","Adicionar novo endereço"
"Add new tracking number","Adicionar novo número de rastreamento"
"Add Selected Product(s) to Order","Adicionar produto(s) seleciona(s) para a compra"
"Add Selected Product(s) to Option","Adicionar produto(s) selecionado(s) para a opção"
"Add Products","Adicionar produtos"
"Add a gift message for <strong>each gift item</strong>","Adicionar uma mensagem de presente para <strong>cada item de presente</strong>"
"Add a gift message for the <strong>entire order</strong>","Adicionar uma mensagem de presente para <strong>toda a compra</strong>"
"Some of the products below don't have all the required options. Please remove them and add again with all the required options.","Alguns dos produtos abaixo não contém todas as opções requeridas. Por favor, remova-os e adicione novamente com todas as opções requeridas."
"Some items have quantities exceeding allowed quantities. Please select a lower quantity to checkout.","Alguns itens excederam a quantidade permitida. Por favor, selecione uma quantidade menor para finalizar sua compra."
"Change Status","Alterar status"
"Change status, add comments","Alterar status, adicionar comentários"
"Void invoice","Anular fatura"
"Order API","API do pedido"
"Apply","Aplicar"
"Apply Coupon Code","Aplicar código de cupom"
"Last ordered items","Últimos itens pedidos"
"Subscribe to Newsletter","Assinar boletim informativo"
"Signed Up From","Assinar de"
"Subscribe to Order Status","Assinar o status de compra"
"Newsletter Subscription","Assinatura do boletim informativo"""
"Customer's Current Activities","Atividades atuais do cliente"
"Order Update","Atualização de compra"
"Order Update for Guest","Atualização de compra para visitante"
"Invoice Update","Atualização de fatura"
"Invoice Update for Guest","Atualização de fatura para visitante"
"Credit Memo Update","Atualização de memorando de crédito"
"Credit Memo Update for Guest","Atualização de memorando de crédito para visitante"
"Shipment Update","Atualização de postagem"
"Shipment Update for Guest","Atualização de postagem para visitante"
"Refresh","Atualizar"
"Update Items and Qty's","Atualizar itens e quantidades"
"Update Changes","Atualizar mudanças"
"Update Qty's","Atualizar quantidades"
"Canceled","Cancelado"
"Cancel","Cancelar"
"Cancel invoice","Cancelar fatura"
"Cancel order","Cancelar pedido"
"Capture","Capturar"
"Capture invoice","Capturar fatura"
"Capture Offline","Capturar offline"
"Capture Online","Capturar online"
"Shopping Cart","Carrinho de compras"
"Email Copy of Invoice","Cópia do e-mail de fatura"
"Email Copy of Credit Memo","Cópia do e-mail de memorando de crédito"
"Email Copy of Shipment","Cópia do e-mail de postagem"
"ZIP/Post Code","CEP"
"Gift Certificate","Certificado de presente"
"Customer","Cliente"
"Click to change shipping method","Clique para alterar método de envio"
"Bill to Name","Cobrar do nome"
"Bill to First name","Cobrar do nome"
"Bill to Last name","Cobrar do sobrenome"
"Comment","Comentário"
"Order Comment","Comentário da compra"
"Comments","Comentários"
"Order Comments","Comentários da compra"
"Invoice Comments","Comentários da fatura"
"Shipment Comments","Comentários da postagem"
"Credit Memo Comments","Comentários de memorando de crédito"
"Append Comments","Comentários pendentes"
"Complete","Completo"
"Order was successfully cancelled.","Compra foi cancelada com sucesso."
"Order was successfully put on hold.","Compra foi colocada em espera com sucesso."
"Order was placed using %s","Compra foi feita usando %s"
"Order was not cancelled.","Compra não foi cancelada"
"Order was not put on hold.","Compra não foi colocada em espera."
"Order was not unholded.","Compra não foi tirada da espera."
"Order #%s","Compra número %s"
"Order # %s","Compra número %s"
"Order #%s - %s","Compra número %s - %s"
"Order was successfully released from holding status.","Compra saiu do status de espera com sucesso."
"Ordered","Comprado"
"Purchased From","Comprado de"
"Purchased from (store)","Comprado de (loja)"
"Purchased On","Comprado na"
"Buy %s for price %s","Comprar %s pelo preço %s"
"TAX/VAT Number","CPF"
"Created At","Criado em"
"Create","Criar"
"Create New Order","Criar nova compra"
"Create New Order for %s","Criar nova compra para %s"
