"Add Recipient","Adicionar destinatário"
"Some emails was not sent","Alguns e-mails não foram enviados"
"Some problems with data.","Alguns problemas com os dados."
"Recipient:","Destinatário:"
"Email:","E-mail:"
"Email Address","Endereço de e-mail"
"Email Address:","Endereço de e-mail:"
"Send email","Enviar e-mail"
"Email to a Friend","Enviar para um amigo"
"Send product to a friend","Enviar produto para um amigo"
"Enabled","Habilitado"
"Limit Sending By","Limitar envio por"
"Link to a friend was sent.","Link enviado para um amigo."
"Maximum %d email addresses allowed.","Máximo %d endereços de e-mail permitido."
"Max Recipients","Máximo de destinatários"
"Max Products Sent in 1 Hour","Máximo de produtos enviados em 1 hora"
"Message:","Mensagem:"
"Email templates","Modelos de e-mail"
"Name","Nome"
"Name:","Nome:"
"Allow for Guests","Permitir convidados"
"Sender:","Remetente:"
"Remove Email","Remover e-mail"
"Select email template","Selecione um modelo de e-mail"
"You cannot send more than %d times in an hour","Você não pode enviar mais de %d vezes por hora"
"You cannot email this product to a friend","Você não pode enviar um e-mail para seu amigo com este produto"
