" for more information or email us at "," para mais informações ou envie um e-mail em "
"Invalid %s ""%s"" in the Row #%s","%s ""%s"" invádido na linha número %s"
"Fixed","Arrumado"
"Signed by:","Assinado por:"
"Calculate Handling Fee","Calcular taxa de manuseio"
"ZIP/Postal Code","CEP"
"City","Cidade"
"Condition","Condição"
"Date","Data"
"Shipping Settings","Definições de envio"
"Description","Descricão"
"Duplicate Row #%s (Country ""%s"", Region/State ""%s"", Zip ""%s"" and Value ""%s"")","Duplicar linha número %s (país ""%s"", estado ""%s"", CEP ""%s"" e valor ""%s"")"
"Delivered on:","Entregue em:"
"Delivered to:","Entregue para:"
"Shipped or billed on:","Enviado ou faturado para:"
"Ship to Specific countries","Enviar para países específicos"
"Ship to applicable countries","Enviar para países permitidos"
"Free Shipping","Envio gratuito"
"Error:","Erro:"
"Region/State","Estado"
"Invalid Region/State ""%s"" in the Row #%s","Estado invádido ""%s"" na linha número %s"
"This shipping method is currently unavailable. If you would like to ship using this shipping method, please contact us.","Este método de envio não está disponível no momento. Se você gostaria de usar este método de envio, por favor, entre em contato conosco."
"Export","Exportar"
"contact us","Fale conosco"
"Close Window","Fechar janela"
"Invalid Table Rates File Format","Formato inválido de arquivo de tabela de taxas"
"Enabled","Habilitado"
"Local Time","Hora local"
"Import","Importar"
"Tracking information is currently unavailable.","Informações de rastreamento indisponíveis."
"Tracking information is currently not available. Please ","Informações de rastreamento indisponíveis. Por favor, entre em contato conosco."
"Info:","Informações:"
"Location","Localização"
"Shipping Methods","Métodos de envio"
"Displayed Error Message","Mensagem de erro exibida"
"Show method if not applicable","Mostra método se não aplicável"
"N/A","N/A"
"None","Nada"
"There is no tracking available for this shipment.","Não existe rastreamento disponível para esta postagem."
"There is no tracking available.","Não existe rastreamento disponível."
"# of Items (and above)","Número de itens (e acima)"
"# of Items vs. Destination","Número de itens x destino"
"Tracking Number:","Número de rastreamento:"
"Method name","Nome do método"
"The shipping module is not available for selected delivery country","O módulo de envio não está disponível para o país de destino selecionado"
"Options","Opções"
"Sort order","Ordem de ordenação"
"Origin","Origem"
"Country","País"
"Invalid Country ""%s"" in the Row #%s","País invádido ""%s"" na linha número %s"""
"Store Pickup","Pegar na loja"
"Allow Shipping to multiple addresses","Permitir envio para múltiplos endereços"
"Weight (and above)","Peso (e acima)"
"Weight vs. Destination","Peso x Destino"
"Weight:","Peso:"
"Per Package","Por pacote"
"Per Order","Por pedido"
"Percent","Porcentagem"
"Shipment #","Postagem número"
"Price","Preço"
"Invalid Shipping Price ""%s"" in the Row #%s","Preço de envio invádido ""%s"" na linha número %s"
"Price vs. Destination","Preço x Destino"
"Maximum qty allowed for Shipping to multiple addresses","Quantidade máxima permitida para envio a múltiplos endereços"
"Minimum order amount","Quantidade mínima de pedido"
"Track:","Rastrear:"
"Shipping Settings Section","Seção de definições de envio"
"Shipping Methods Section","Seção de métodos de envio"
"Status:","Status:"
"Order Subtotal (and above)","Subtotal do pedido (e acima)"
"Invalid Table Rate code for type %s: %s","Tabela de códigos de taxas inválida para o tipo %s: %s"
"Flat Rate","Taxa básica"
"Handling Fee","Taxa de manuseio"
"Table rates","Taxas de tabela"
"Title","Título"
"Type","Tipo"
"Invalid Table Rate code type: %s","Tipo de código inválido de tabela de taxas: %s"
"Service Type:","Tipo de serviço:"
"Carrier:","Transportadora:"
