"Action","Ação"
"Add Sitemap","Adicionar mapa do site"
"Yearly","Anual"
"File ""%s"" cannot be saved. Please, make sure the directory ""%s"" is writeable by web server.","Arquivo ""%s"" não pode ser salvo. Por favor, tenha certeza que o diretório ""%s"" tenha permissões de escrita pelo servidor web."
"Path","Caminho"
"Error Email Recipient","Destinatário de e-mail de erro"
"Daily","Diariamente"
"Edit Sitemap","Editar mapa do site"
"This sitemap no longer exists","Este mapa do site não existe mais"
"Valid values range from 0.0 to 1.0","Faixa de valores válidos de 0.0 a 1.0"
"Frequency","Freqüência"
"Last Time Generated","Gerado pela última vez"
"Generate","Gerar"
"Enabled","Habilitado"
"Hourly","Horário"
"Start Time","Horário de início"
"ID","ID"
"Link for Google","Link para o Google"
"Sitemap","Mapa do site"
"Sitemap ""%s"" has been successfully generated","Mapa do site ""%s"" foi gerado com sucesso"
"Google Sitemap","Mapa do site do Google"
"Sitemap was successfully deleted","Mapa do site foi excluído com sucesso"
"Sitemap was successfully saved","Mapa do site foi salvo com sucesso"
"Sitemap generate Warnings","Mapa do site gera alertas"
"Monthly","Mensal"
"Error Email Template","Modelo de e-mail de erro"
"Unable to find a sitemap to delete","Não foi possível encontrar um mapa do site para excluir"
"Unable to find a sitemap to generate","Não foi possível encontrar um mapa do site para ser gerado"
"Unable to generate a sitemap","Não foi possível gerar o mapa do site"
"Filename","Nome do arquivo"
"New Sitemap","Novo mapa do site"
"Never","Nunca"
"Categories Options","Opções de categorias"
"Generation Settings","Opções de geração"
"CMS Pages Options","Opções de páginas CMS"
"Products Options","Opções de produtos"
"Please define correct path","Por favor, defina o caminho correto"
"Please create the specified folder ""%s"" before saving the sitemap.","Por favor, insira a pasta especificada ""%s"" antes de salvar o mapa do site"
"Please make sure that ""%s"" is writable by web-server.","Por favor, tenha certeza que ""%s"" tenha permissões de escrita pelo servidor web"
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in the filename. No spaces or other characters are allowed.","Por favor, utilize somente letras (a-z ou A-Z), números (0-9) ou sublinhado (_) no nome do arquivo. Espaços ou outros caracteres não são permitidos."
"Priority","Prioridade"
"Priority must be between 0 and 1","Prioridade deve ser entre 0 e 1"
"Error Email Sender","Remetente de e-mail de erro"
"Google Sitemap Section","Seção do mapa do site do Google"
"Weekly","Semanal"
"Always","Sempre"
"Store View","Visão da loja"
