"%s tag(s) have been accepted for moderation","%s tag(s) aceita(s) para avaliação"
"Action","Ação"
"Actions","Ações"
"Add to Cart","Adicionar ao carrinho"
"Add to Wishlist","Adicionar à lista de desejos"
"Add New Tag","Adicionar nova tag"
"Add Your Tags:","Adicionar suas tags:"
"Add Tags","Adicionar tags"
"Change status","Alterar status"
"Approved","Aprovado"
"ZIP/Post Code","CEP"
"Customer Since","Cliente desde"
"Customers","Clientes"
"Customers Tagged '%s'","Clientes tagged '%s'"
"Click on a tag to view your corresponding products.","Clique na tag para visualizar seus produtos correspondentes."
"CSV","CSV"
"Disabled","Desabilitado"
"Email","E-mail"
"Edit Tag","Editar tag"
"Edit Tag '%s'","Editar tag '%s'"
"Delete","Excluir"
"Delete Tag","Excluir tag"
"Grid","Grade"
"ID","ID"
"SKU","ID do produto"
"Product SKU","ID do produto"
"Tag Information","Informações da tag"
"Block Information","Informações do bloco"
"General Information","Informações gerais"
"List","Lista"
"My Tags","Minhas tags"
"My Recent Tags","Minhas tags recentes"
"Unable to find any products tagged with '%s' in the current store","Não foi possível encontrar produtos com a tag '%s' na loja atual"
"Unable to remove tag. Please, try again later.","Não foi possível excluir tag. Por favor, tente novamente mais tarde."
"Unable to save tag(s)","Não foi possível salvar a(s) tag(s)"
"Unable to save your tag. Please, try again later.","Não foi possível salvar sua tag. Por favor, tente novamente mais tarde."
"# of Uses","Número de usos"
"No matches found.","Nenhum resultado encontrado."
"Name","Nome"
"First Name","Nome"
"Tag Name","Nome da tag"
"Tag Name: %s","Nome da tag: %s"
"Product Name","Nome do produto"
"New Tag","Nova tag"
"Thank you. Your tag has been accepted for moderation.","Obrigado. Sua tag foi aceita para avaliação."
"Other people marked this product with these tags:","Outras pessoas marcaram este produto com as seguintes tags:"
"Country","País"
"Pending","Pendente"
"Popular","Popular"
"Popularity","Popularidade"
"Price","Preço"
"Products","Produtos"
"Products tagged with '%s'","Produtos tagged com '%s'"
"Products Tagged with '%s'","Produtos tagged com '%s'"
"Products tagged with '%s' (<a href='%s'>RSS</a>)","Produtos tagged com '%s' (<a href='%s'>RSS</a>)"
"Search Results for '%s' (<a href='%s'>RSS</a>)","Resultados da busca para '%s' (<a href='%s'>RSS</a>)"
"Save Tag","Salvar tag"
"Last Name","Sobrenome"
"Status","Status"
"Your tag was successfully deleted","Sua tag foi excluída com sucesso"
"Your tag was successfully saved","Sua tag foi salva com sucesso"
"Tag","Tag"
"Tag ""%s"" has already been added to the product","Tag ""%s"" já foi adicionada ao produto"
"Tag can't be empty.","Tag não pode ser vazia."
"Tagged in","Tagged em"
"Tags","Tags"
"Product Tags","Tags do produto"
"Tags Aren't Available","Tags não estão disponíveis"
"Pending Tags","Tags pendentes"
"Popular Tags","Tags populares"
"Tags:","Tags:"
"Telephone","Telefone"
"Search Terms","Termos de busca"
"All Tags","Todas as tags"
"Use spaces to separate tags. Use single quotes (') for phrases.","Use espaços para separar tags. Use aspas simples (') para frases."
"Uses","Usos"
"View Customers","Ver clientes"
"View Products","Ver produtos"
"View All Tags","Ver todas tags"
"View All","Ver todos"
"Visible In","Visível em"
"You have not tagged any products yet.","Você não adicionou tag em nenhum produto ainda."
"Are you sure you want to delete this tag?","Você tem certeza que deseja excluir esta tag?"
"Are you sure that you want to delete this tag?","Você tem certeza que deseja excluir esta tag?"
"Are you sure you want to do this?","Você tem certeza que deseja fazer isto?"
"Are you sure?","Você tem certeza?"
"Back","Voltar"
"Back to Tags List","Voltar para lista de tags"
"Back to view Tag","Voltar para visualizar tag"
"XML","XML"
