" and "," e "
"(Absolute path or Relative to Magento install root, ex. var/export)","(Caminho absoluto ou relativo da raiz de instalação do Magento, ex. var/export)"
"(Starting with)","(Começando com)"
"(Leave empty for first spreadsheet)","(Deixe vazio para primeira planilha)"
"(For US 2-letter state names)","(Para nomes de estados Americanos com 2 letras)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(Produtos serão adicionados/atualizados nesta loja se a coluna 'loja' estiver vazia ou faltando no arquivo de importação.)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(Quando 'Não', apenas campos mapeados serão importados. Ao mapear, use 'column1', 'column2', etc.)"
"(If left empty will be auto-generated)","(Se deixado vazio será gerado automaticamente)"
"(Shift-)Click or drag to change value","(Shift-)Clique ou arraste para alterar o valor"
"(You have to increase php memory_limit before changing this value)","(Você precisa aumentar o memory_limit do php antes de alterar este valor)"
"(\t for tab)","(\t for tab)"
"- Click on any of the time parts to increase it","- Clique em qualquer parte do horário para aumentá-lo"
"- Hold mouse button on any of the above buttons for faster selection.","- Mantenha pressionado o botão do mouse sobre os botões acima para selecionar mais rápido."
"- or click and drag for faster selection.","- ou clique e arraste para selecionar mais rápido"
"- or Shift-click to decrease it","- ou Shift-clique para diminuí-lo"
"- Use the %s buttons to select month","- Use o botão %s para selecionar o mês"
"- Use the %s, %s buttons to select year","- Use os botões %s, %s para selecionar o ano"
"Action","Ação"
"Actions","Ações"
"Resource Access","Acesso do recurso"
"Access Denied.","Acesso negado."
"Add","Adicionar"
"Add Contents Path","Adicionar caminho dos conteúdos"
"Add Field with URL:","Adicionar campo com URL:"
"Add PHP Extension dependency","Adicionar dependência da extensão do PHP"
"Add Package dependency","Adicionar dependência do pacote"
"Add Subpackage dependency","Adicionar dependência do subpacote"
"Add Maintainer","Adicionar mantenedor"
"Add New Role","Adicionar novo cargo"
"Add new store view map","Adicionar novo mapa de visão da loja"
"Add new website map","Adicionar novo mapa de website"
"Add New Template","Adicionar novo modelo"
"Add New User","Adicionar novo usuário"
"Schedule Merge","Agendar união"
"Help Us Keep Magento Healthy - Report All Bugs","Ajude-nos a manter a qualidade do Magento – reporte todos os bugs"
"Warning! Empty value can cause problems with CSV format.","Alerta! Valor vazio pode causar problemas com o formato CSV."
"Some items in this order have different invoice and shipment types. You can create shipment only after the invoice is created.","Alguns itens neste pedido contém faturas e postagens diferentes. Você pode criar a postagem somente depois de faturar o pedido."
"Prev. year (hold for menu)","Ano anterior (mantenha para menu)"
"Only mapped fields","Apenas campos mapeados"
"Magento Core Api","API do Magento Core"
"API:","API:"
"Provided Files","Arquivos fornecidos"
"Drag to move","Arraste para mover"
"Your server PHP settings allow you to upload files not more than %s at a time. Please modify post_max_size (currently is %s) and upload_max_filesize (currently is %s) values in php.ini if you want to upload larger files.","As configurações do seu servidor PHP não permite carregar arquivos com mais de %s. Por favor, modifique no arquivo php.ini o post_max_size (valor atual: %s) e o upload_max_filesize (valor atual: %s) se você deseja carregar arquivos maiores."
"The information in this tab has been changed.","As informações nessa aba foram alteradas."
"Last Logged In (%s):","Última conexão em (%s):"
"Last Logged In:","Última conexão em:"
"Latest Message:","Última mensagem:"
"Last 5 Orders","Últimos 5 pedidos"
"Last 5 Search Terms","Últimos 5 termos de busca"
"Attributes","Atributos"
"Upgrade All Available Packages","Atualizar todos pacotes disponíveis"
"Download Remote File","Baixar arquivo remoto"
"Global Record Search","Busca global de registro"
"Path","Caminho"
"Path:","Caminho:"
"Channel","Canal"
"Channel:","Canal:"
"Role","Cargo"
"Roles","Cargos"
"User Roles","Cargos do usuário"
"Loading...","Carregando..."
"Upload Local File","Carregar arquivo local"
"Upload local file:","Carregar arquivo local:"
"Catalog","Catálogo"
"Card Verification Number","Código de segurança do cartão"
"Zip/Postal Code:","CEP:"
"Customer Since:","Cliente desde:"
"Customers","Clientes"
"Shipment Comments","Comentários de postagem"
"Logged in as %s","Conectado como %s"
"Connect with the Magento Community","Conectar com a comunidade Magento"
"Web Services Configuration","Configuração de serviços web"
"General Settings","Configurações gerais"
"Module version conflict!","Conflito de versão de módulo!"
"Account Created on (%s):","Conta criada em (%s):"
"Account Created on:","Conta criada em:"
"Account Created in:","Conta criada em:"
"Contents","Conteúdos"
"Finished items creation.","Criação de itens finalizada."
"Created <strong>%s</strong> items","Criado <strong>%s</strong> itens"
"Create New Staging Store View","Criar novo estágio de visão da loja"
"Create a backup","Criar um backup"
"critical","CRITICAL"
"CSV / Tab separated","CSV / Separado por aba"
"Expiration Date","Data de expiração"
"Expiration Date: %s/%s","Data de expiração: %s/%s"
"Start Date","Data de início"
"Date:","Data:"
"From","de"
"of %s pages","de %s páginas"
"Leave empty to use tax identifier","Deixe vazio para utilizar o identificador de imposto"
"Value Delimiter:","Delimitador de valores:"
"Dependencies","Dependências"
"Description:","Descricão:"
"Direction:","Direção:"
"Distributed under GNU LGPL. See %s for details.","Distribuído sobre GNU LGPL. Ver %s para detalhes."
"Email","E-mail"
"Confirmed email:","E-mail confirmado:"
"Order confirmation email sent","E-mail de confirmação do pedido enviado"
"Order confirmation email not sent","E-mail de confirmação do pedido não enviado"
"PayPal Email","E-mail PayPal"
"Email:","E-mail:"
"Edit Role","Editar cargo"
"Edit User '%s'","Editar usuário '%s'"
"In File:","Em arquivo:"
"In Database:","Em banco de dados:"
"Issuer: %s","Emissor: %s"
"Bundle Items","Empacotar itens"
"Billing Address","Endereço de cobrança"
"Primary Billing Address","Endereço de cobrança primário"
"Shipping Address","Endereço de envio"
"Shipping address selection is not applicable","Endereço de envio não é aplicável"
"Choose Store View","Escolher visão da loja"
"Current Configuration Scope:","Escopo da configuração atual:"
"This tab contains invalid data. Please solve the problem before saving.","Essa aba contém dados inválidos. Por favor, resolva o problema antes de salvar."
"State/Province:","Estado:"
"This is a required field.","Este é um campo obrigatório."
"Excl. Tax","Excl. imposto"
"Delete","Excluir"
"Exclude","Excluir"
"Export","Exportar"
"Export Filters","Exportar filtros"
"Export to:","Exportar para:"
"Export:","Exportar:"
"Extension","Extensão"
"Extensions","Extensões"
"Close","Fechar"
"Done By:","Feito por:"
"Done by:","Feito por:"
"Phone:","Fone:"
"Data Format","Formato de dados"
"Remote FTP","FTP remoto"
"Manage Stores","Gerenciar lojas"
"Customer Group:","Grupo de clientes:"
"Group:","Grupo:"
"Comments History","Histórico de comentários"
"Invoice History","Histórico de faturamento"
"Shipment History","Histórico de postagem"
"Credit Memo History","Histórico do memorando de crédito"
"Time:","Hora:"
"SKU","ID do produto"
"SKU:","ID do produto:"
"Ignore","Ignorar"
"Big Image","Imagem grande"
"Thumbnail","Imagem pequena"
"Images","Imagens"
"images/logo.gif","images/logo.gif"
"Import","Importar"
"Inactive","Inativo"
"Incl. Tax","Incl. imposto"
"Include","Incluir"
"Current Release Information","Informações da versão atual"
"File Information","Informações de arquivo"
"Profile Information","Informações de perfil"
"Package Information","Informações do pacote"
"Personal Information","Informações pessoais"
"Installed As","Instalado como"
"Interactive","Interativo"
"Google Base Items","Itens da base do Google"
"Items to merge","Itens para unir"
"items selected","itens selecionados"
"Read details","Ler detalhes"
"License:","Licença:"
"Unselect All","Limpar seleções"
"Unselect Visible","Limpar seleções visíveis"
"Interface Locale: %s","Localidade da interface: %s"
"Magento Logo","Logo do Magento"
"Staging Store: ","Loja estágio:"
"Store:","Loja:"
"Store: ","Loja:"
"Magento&trade; is a trademark of Irubin Consulting Inc. DBA Varien.<br/>Copyright &copy; %s Irubin Consulting Inc.","Magento&trade; é uma marca registrada de Irubin Consulting Inc. DBA Varien.<br/>Copyright &copy; %s Irubin Consulting Inc."
"major","MAJOR"
"Maintainers","Mantenedores"
"Field Mapping","Mapeamento de campo"
"Mapping Configuration","Mapeando configuração"
"Max","Max"
"Shipping method selection is not applicable","Método de envio não é aplicável"
"Prev. month (hold for menu)","Mês anterior (mantenha para menu)"
"md5sum","md5sum"
"Min","Min"
"minor","MINOR"
"Passive mode","Modo passivo"
"Display %s first","Mostrar %s primeiro"
"Show by","Mostrar por"
"MS Excel XML","MS Excel XML"
"N/A","N/A"
"No","Não"
"Unable to login.","Não foi possível entrar."
"Level","Nível"
"Issue Number","Número de cadastro"
"Number of records:","Número de registros:"
"Credit Card Number","Número do cartão de crédito"
"Credit Card Number: xxxx-%s","Número do cartão de crédito: xxxx-%s"
"No Data Found","Nenhum dado encontrado"
"No search keywords.","Nenhuma palavra-chave de busca."
"Name","Nome"
"Spreadsheet Name:","Nome da planilha:"
"User name","Nome de usuário"
"User Name","Nome de usuário"
