"%s is not correct comparsion method.","%s não é um método de comparação correto"
"The maximum quantity allowed for purchase is %s.","A quantidade máxima permitida por compra é %s."
"The minimum quantity allowed for purchase is %s.","A quantidade mínima permitida por compra é %s."
"The requested quantity is not available.","A quantidade solicitada não está disponível."
"The requested quantity for ""%s"" is not available.","A quantidade solicitada para ""%s"" não está disponível."
"Some of the products are currently out of stock","Alguns dos produtos estão esgotados"
"Some of the products cannot be ordered in the requested quantity","Alguns dos produtos não podem ser pedidos na quantidade solicitada."
"Some of the products can not be ordered in requested quantity","Alguns dos produtos não podem ser pedidos na quantidade solicitada."
"Inventory API","API do inventário"
"Update","Atualizar"
"Update product stock data","Atualizar dados do estoque do produto"
"Update the Product","Atualizar o produto"
"Set Items' Status to be In Stock When Order is Cancelled","Definir status dos itens para em estoque quando pedido for cancelado"
"Decrease Stock When Order is Placed","Diminuir estoque quando feito pedido"
"In Stock","Em estoque"
"Out of Stock","Esgotado"
"This product is currently out of stock.","Esse produto está esgotado no momento."
"Manage Stock","Gerenciar estoque"
"Inventory","Inventário"
"Catalog Inventory","Inventário do catálogo"
"Stock item for Product in option is not valid","Item do estoque para o produto em questão não é válido"
"Stock item for Product is not valid","Item do estoque para o produto não é válido"
"Can not specify product identifier for order item","Não foi possível especificar o identificador do produto para o item do pedido"
"No Backorders","Nenhum pedido pendente"
"Notify for Quantity Below","Notifique para quantidade baixa"
"Retrieve stock data","Obter dados do estoque"
"Retrieve stock data by product ids","Obter dados do estoque através dos IDs dos produtos"
"Stock Options","Opções de estoque"
"Product Stock Options","Opções do estoque do produto"
"To Percentage","Para porcentagem"
"To Fixed Value","Para valor fixo"
"Backorders","Pedido pendente"
"Allow Qty Below 0","Permitir quantidade abaixo de 0"
"Allow Qty Below 0 and Notify Customer","Permitir quantidade abaixo de 0 e notificar cliente"
"<strong>Please note</strong>, that these Settings are applicable to cart line Items, not the whole Cart.","Por favor, <strong>note</strong> que estas configurações são aplicadas somente aos itens da linha e não ao carrinho inteiro."
"By Percentage","Por porcentagem"
"By Fixed value","Por valor fixo"
"Maximum Qty Allowed in Shopping Cart","Quantidade máxima permitida no carrinho de compras"
"Minimum Qty Allowed in Shopping Cart","Quantidade mínima permitida no carrinho de compras"
"Qty for Items' Status to become Out of Stock","Quantidade para status dos itens tornar-se esgotado"
"Rule price","Regra de preço"
"Inventory Section","Seção inventário"
