"(eg: domain.com/identifier)","(ex: dominio.com/identificador)"
"The page you are trying to save no longer exists","A página que você está tentando salvar não existe mais"
"Action","Ação"
"Add New Page","Acrescentar nova página"
"Add New Block","Acrescentar novo bloco"
"Last Modified","Última modificação"
"Block was successfully deleted","Bloco foi excluído com sucesso"
"Block was successfully saved","Bloco foi salvo com sucesso"
"Static Blocks","Blocos estáticos"
"CMS","CMS"
"Content","Conteúdo"
"Date Created","Data de criação"
"Disabled","Desabilitado"
"Description","Descricão"
"Custom Design","Design personalizado"
"Edit Block","Editar bloco"
"Edit Block '%s'","Editar bloco '%s'"
"Edit Page","Editar página"
"Edit Page '%s'","Editar página '%s'"
"This page no longer exists","Esta página não existe mais"
"This block no longer exists","Este bloco não existe mais"
"Delete Block","Excluir bloco"
"Delete Page","Excluir página"
"Poll Manager","Gerenciador de pesquisa"
"Manage Pages","Gerenciar páginas"
"Enabled","Habilitado"
"Identifier","Identificador"
"Page Identifier cannot consist only of numbers.","Identificador de página não pode ser apenas de números."
"Page Identifier for specified store already exist.","Identificador de página para a loja especificada já existe."
"SEF URL Identifier","Identificador de SEF URL"
"Page Information","Informações da página"
"Customer Tax Class Information","Informações de classe de impostos de cliente"
"Product Tax Class Information","Informações de classe de impostos de produto"
"Block Information","Informações do bloco"
"General Information","Informações gerais"
"Go to Home Page","Ir para página principal"
"Layout","Layout"
"Meta Data","Meta dados"
"Meta Description","Meta descrição"
"Meta Keywords","Meta palavras chave"
"Show breadcrumbs for CMS pages","Mostrar navegação por migalha de pão para páginas do CMS"
"Unable to find a block to delete","Não foi possível encontrar um bloco para excluir"
"Unable to find a page to delete","Não foi possível encontrar uma página para excluir"
"New Page","Nova página"
"New Block","Novo bloco"
"Keywords","Palavras chave"
"Page was successfully deleted","Página foi excluída com sucesso"
"Page was successfully saved","Página foi salva com sucesso"
"CMS Home Page","Página principal do CMS"
"CMS No Route Page","Página sem rota do CMS"
"Home","Principal"
"Save Block","Salvar bloco"
"Save Page","Salvar página"
"Status","Status"
"Page Status","Status da página"
"Such a block identifier in selected store already exist.","Tal identificador de bloco na loja selecionada já existe."
"Title","Título"
"Page Title","Título da página"
"Block Title","Título do bloco"
"Custom Theme","Tema personalizado"
"Custom Theme From","Tema personalizado a partir de"
"Custom Theme To","Tema personalizado para"
"All countries","Todos países"
"Store View","Visão da loja"
"Layout Update XML","XML de atualização de layout"
