"%s already exist","%s já existe"
"%s already exists","%s já existem"
"-- Please Select --","-- Por favor, selecione --"
"Add Store Code to Urls","Adicionar código da loja nos URLs"
"Add Secret Key to URLs","Adicionar chave secreta a URLs"
"Add Block Names to Hints","Adicionar nomes de blocos para dicas"
"Admin","Admin"
"Logo Image Alt","Alt da imagem de logo"
"Design Change","Alteração de design"
"Before modifying the store view code please make sure that it is not used in index.php","Antes de modificar o código da visão da loja, por favor, tenha certeza que não é usado em index.php"
"Before modifying the website code please make sure that it is not used in index.php","Antes de modificar o código do website, por favor, tenha certeza que não é usado em index.php"
"Invalid layout update argument, expected Mage_Core_Model_Layout_Element","Argumento inválido de atualização de layout, esperado Mage_Core_Model_Layout_Element"
"Controller file was loaded but class does not exist","Arquivo de controle foi carregado mas a classe não existe"
"Secure","Assegurar"
"Advanced","Avançado"
"Invalid block: %s","Bloco inválido: %s"
"Blocks HTML output","Bloquear saída HTML"
"Header","Cabeçalho"
"HTML Head","Cabeçalho HTML"
"Translate cache should be disabled for both Frontend and Admin inline translations","Cache de tradução deve ser desabilitado para a tradução inline do Frontend e da Admin"
"Request path for specified store","Caminho de solicitação para loja especificada"
"Cookie Path","Caminho do cookie"
"Id path for specified store","Caminho do ID para loja especificada"
"Invalid websites configuration path: %s","Caminho inválido de configuração de websites: %s"
"Cancel","Cancelar"
"Category object is required for determining product request path","Categoria de objeto é obrigatório para determinar caminho de solicitação do produto"
"Root Category","Categoria raiz"
"Code","Código"
"Store code should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter","Código da loja deve conter somente letras (a-z), números (0-9) ou underscore(_) e o primeiro caractere deve ser uma letra"
"Website code should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter","Código do website deve conter somente letras (a-z), números (0-9) ou underscore(_) e o primeiro caractere deve ser uma letra"
"Invalid transactional email code: ","Código inválido de e-mail transacional: "
"Model class does not exist: %s","Classe modelo não existe: %s"
"Match expressions in the same order as displayed in the configuration.","Combinar expressões na mesma ordem exibida na configuração."
"Configuration","Configuração"
"Log Settings","Configuração de log"
"Session Validation Settings","Configuração de validação de sessão"
"SMTP settings (Windows server only)","Configurações de SMTP (somente Windows server)"
"General Settings","Configurações gerais"
"General contact","Contato geral"
"Create Store","Criar loja"
"Create Store View","Criar visão da loja"
"Create Website","Criar website"
"Collections Data","Dados de coleta"
"Date From","Data de"
"Start date can't be greater than end date","Data de início não pode ser depois que a data de fim"
"Incorrect credit card expiration date","Data de vencimento do cartão de crédito incorreta"
"Date To","Data para"
"Specified date/time ""%1$s"" do not match format ""%2$s"".","Data/hora especificado ""%1$s"" diferente do formato ""%2$s""."
"Debug","Debug"
"Set as default","Definir como padrão"
"Leave empty for access from any location","Deixar em branco para acessar de qualquer lugar"
"Disable email communications","Desabilitar comunicações por e-mail"
"Disable modules output","Desabilitar saída dos módulos"
"Default Description","Descrição padrão"
"Developer","Desenvolvedor"
"Design","Design"
"Custom Design","Design personalizado"
"Weekend Days","Dias do final de semana"
"Template Path Hints","Dicas de caminho de modelo"
"Copyright","Direitos autorais"
"Cookie Domain","Domínio do cookie"
"Duplicate Of Template Code","Duplicação do código de modelo"
"Sender email","E-mail do remetente"
"Custom email 1","E-mail Personalizado 1"
"Custom email 2","E-mail Personalizado 2"
"Admin User Emails","E-mails dos usuários da administração"
"Edit Design Change","Editar alteração de design"
"Edit Store","Editar loja"
"Edit Store View","Editar visão da loja"
"Edit Website","Editar website"
"Store Email Addresses","Endereços de e-mail da loja"
"Error while saving. Please try again later.","Erro ao salvar. Por favor, tente novamente mais tarde."
"Error in file: ""%s"" - %s","Erro no arquivo: ""%s"" - %s"
"Error: Passwords do not match","Erro: senhas não conferem"
"Unknown scope ""%s""","Escopo desconhecido ""%s"""
"Specify either category or product, or both.","Especifique categoria ou produto ou ambos."
"Forgot Password Email Template","Esqueceu modelo do e-mail de senha"
"Forgot Password Email Sender","Esqueceu rementente do e-mail de senha"
"This category and all its child elements","Esta categoria e todos seus elementos filhos"
"This store cannot be deleted","Esta loja não pode ser excluída"
"This store cannot be deleted.","Esta loja não pode ser excluída."
"Cannot complete this operation from non-admin area.","Esta operação não pode ser completada de uma área diferente da administração."
"This store view cannot be deleted","Esta visão da loja não pode ser excluída"
"This store view cannot be deleted.","Esta visão da loja não pode ser excluída."
"This is a required field.","Este é um campo obrigatório."
"This website cannot be deleted","Este website não pode ser excluído"
"This website cannot be deleted.","Este website não pode ser excluído."
"Delete","Excluir"
"Delete Store","Excluir loja"
"Deleting a %1$s will not delete the information associated with the %1$s (e.g. categories, products, etc.), but the %1$s will not be able to be restored. It is suggested that you create a database backup before deleting the %1$s.","Excluir um %1$s não excluirá as informações associadas com o %1$s (ex: categorias, produtos, etc.), mas o %1$s não poderá de ser restaurardo. É recomendado você criar um backup do banco de dados antes de excluir o %1$s."
"Delete Store View","Excluir visão da loja"
"Delete Website","Excluir website"
"Date/time format ""%s"" is not supported.","Formato de data/hora ""%s"" não é suportado."
"Timezone","Fuso horário"
"General","Geral"
"Session Cookie management","Gerenciamento de cookie de sessão"
"Manage Stores","Gerenciar lojas"
"Global","Global"
"Enabled","Habilitado"
"Enabled for Admin","Habilitado para admin"
"Enabled for Frontend","Habilitado para frontend"
"Miscellaneous HTML","HTML variados"
"Store Information","Informações da loja"
"Store View Information","Informações da visão da loja"
"Website Information","Informações do website"
"Unsecure","Inseguro"
"Allowed IPs (comma separated)","IPs permitidos (separados por vírgula)"
"Go","Ir"
"This will be displayed just before body closing tag","Isto será exibido antes do fechamento da body tag"
"This will be included before head closing tag in page HTML","Isto será incluído antes do fechamento da head tag na página HTML"
"Block with name ""%s"" already exists","Já existe bloqueio com o nome ""%s"""
"Layout","Layout"
"Invalid layout update handle","Layout update handle inválido"
"Layouts","Layouts"
"Locale","Localidade"
"Logging from Mage::log(). File is located in {{base_dir}}/var/log","Logging de Mage::log(). Arquivo está localizado em {{base_dir}}/var/log"
