"* Required Fields","* Campos obrigatórios"
"YYYY","AAAA"
"Action","Ação"
"Added From","Adicionado de"
"Add New Customer","Adicionar novo cliente"
"Add New Address","Adicionar novo endereço"
"Add New Customer Group","Adicionar novo grupo de clientes"
"Admin","Admin"
"Change Billing Address","Alterar endereço de cobrança"
"Change Shipping Address","Alterar endereço de envio"
"Change Password","Alterar senha"
"Change Account Password","Alterar senha da conta"
"Year","Ano"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Ao criar uma conta na nossa loja, você será capaz de finalizar sua compra com mais agilidade, registrar múltiplos endereços de envio, ver e rastrear seus pedidos e muito mais"
"Customers Only","Apenas clientes"
"Visitors Only","Apenas visitantes"
"Customer Api","API do cliente"
"Approved","Aprovado"
"Password fields can't be empty.","As senhas não podem estar vazias."
"Last Activity","Última atividade"
"Last date subscribed","Última data de assinatura"
"Last date unsubscribed","Última data de cancelamento de assinatura"
"Last Url","Último URL"
"Last 5 Orders","Últimos 5 pedidos"
"Last Viewed Items","Últimos itens vistos"
"Subscribe","Assinar"
"Subscribe to newsletter","Assinar boletim informativo"
"Sign Up for Newsletter","Assinar boletim informativo"
"General Subscription","Assinatura comum"
"Newsletter Subscription","Assinatura do boletim informativo"""
"Sign up for our newsletter","Assine nosso boletim informativo"
"Assign a customer group","Associar um grupo de clientes"
"Subject","Assunto"
"Update","Atualizar"
"Update customer data","Atualizar dados do cliente"
"Update customer address data","Atualizar dados do endereço do cliente"
"Newsletter","Boletim informativo"
"Newsletter Received","Boletim informativo recebido"
"Newsletters","Boletins informativos"
"Cancel","Cancelar"
"Unsubscribe from newsletter","Cancelar assinatura do boletim informativo"
"Shopping Cart","Carrinho de compras"
"Shopping Cart - %d item(s)","Carrinho de compras - %d item(s)"
"ZIP","CEP"
"ZIP/Post Code","CEP"
"ZIP/Postal Code","CEP"
"Zip/Postal Code","CEP"
"New account confirmation key","Chave de confirmação de uma nova conta"
"Wrong confirmation key.","Chave de confirmação incorreta."
"City","Cidade"
"Tax Class","Classe de impostos"
"Tax class","Classe de impostos"
"Customer","Cliente"
"Customer Since","Cliente desde"
"Customer doesn't have primary billing address","Cliente não tem endereço de cobrança primário"
"Registered Customers","Cliente registrado"
"Customers","Clientes"
"Online Customers","Clientes online"
"Bill to Name","Cobrar do nome"
"Customer collection expected","Coleção de clientes esperada"
"Entity collection is expected","Coleção de entidade é esperada"
"Share Customer Accounts","Compartilhar contas de clientes"
"Bought From","Comprado de"
"Purchase On","Comprado em"
"Purchased at","Comprado em"
"Config","Config"
"Customer Configuration","Configuração de cliente"
"Confirmed","Confirmado"
"Confirm New Password","Confirmar nova senha"
"Confirm Password","Confirmar senha"
"Wrong customer account specified.","Conta de usuário incorreta."
"Continue Shopping","Continuar comprando"
"Tax/VAT number","CPF"
"TAX/VAT number is required.","CPF é obrigatório."
"Create","Criar"
"Create customer","Criar cliente"
"Create customer address","Criar endereço do cliente"
"Create New Customer Account","Criar nova conta de cliente"
"Create Order","Criar pedido"
"Create an Account","Criar uma conta"
"CSV","CSV"
"Invalid customer data","Dados de cliente inválidos"
"Date","Data"
"Date Added","Data adicionada"
"Date of Birth","Data de nascimento"
"Date of Birth is required.","Data de nascimento é obrigatório."
"DD","DD"
"Set as Default Billing Address","Definir como endereço padrão de cobrança"
"Set as Default Shipping Address","Definir como endereço padrão de envio"
"Leave empty for default (15 minutes).","Deixe vazio para utilizar o padrão (15 minutos)"
"Leave empty for default (2). Valid range: 1-4","Deixe vazio para utilizar o padrão (2). Intervalo válido: 1-4"
"Disabled","Desabilitado"
"Unknown","Desconhecido"
"User description","Descrição de usuário"
"Details","Detalhes"
"Day","Dia"
"Days in Wishlist","Dias na lista de desejos"
"Default Email Domain","Domínio de e-mail padrão"
"Email","E-mail"
"Confirmation Link Email","E-mail com link de confirmação"
"Welcome Email","E-mail de boas-vindas"
"Customer email already exists","E-mail de cliente já existe"
"Wrong email.","E-mail incorreto."
"Default Welcome Email","E-mail padrão de boas-vindas"
"Edit","Editar"
"Edit Newsletter Subscription","Editar assinatura do boletim informativo"
"Edit Newsletters","Editar boletim informativos"
"Edit Address","Editar endereço"
"Edit Customer's Address","Editar endereço de cliente"
"Edit Address Entry","Editar entrada de endereço"
"Edit Group","Editar grupo"
