"Total of %d items(s) were successfully deleted, Total of %d items(s) were successfully updated","%d item(s) excluído(s) com sucesso"
"Total of %d items(s) were successfully removed from Google Base","%d item(s) excluído(s) do Google Base com sucesso"
"Total of %d items(s) were successfully published","%d item(s) publicado(s) com sucesso"
"Total of %d items(s) were successfully saved as Inactive items","%d item(s) salvo(s) como itens inativos com sucesso"
"Total of %d product(s) were successfully added to Google Base","%d produto(s) adicionado(s) ao Google Base com sucesso"
"Add to Google Base","Adicionar ao Google Base"
"Add Attribute Mapping","Adicionar atributo de mapeamento"
"Add New Attribute","Adicionar novo atributo"
"Germany","Alemanha"
"Active","Ativo"
"Attribute","Atributo"
"Google Base Attribute","Atributo do Google Base"
"Custom attribute, no mapping","Atributo personalizado, sem mapeamento"
"Attributes","Atributos"
"Update Google Base item when product is updated","Atualizar item do Google Base quando o produto é atualizado"
"Captcha confirmed successfully","CAPTCHA confirmado com sucesso"
"Clicks","Cliques"
"AuthSub","Co-autor"
"Confirm","Confirma"
"US Dollar","Dólar EUA"
"Edit Item Type","Editar tipo do item"
"Edit Item Type ""%s""","Editar tipo do item ""%s"""
"Captcha confirmation error: %s","Erro de confirmação de CAPTCHA: %s"
"Error: %s","Erro: %s"
"Hide","Esconder"
"This action will update items statistics and remove the items which are not available in Google Base. Continue?","Esta ação irá atualizar as estatísticas dos itens e remover os itens que não estão disponíveis no Google Base. Continuar?"
"United States","Estados Unidos"
"Euro","Euro"
"Delete","Excluir"
"Delete Mapping","Excluir mapeamento"
"Expires","Expirar"
"Manage Attributes","Gerenciar atributos"
"Manage Items","Gerenciar itens"
"Manage Attribute Mapping","Gerenciar mapeamento de atributo"
"Google Base","Google Base"
"Attributes Set","Grupo de atributos"
"Attribute Set","Grupo de atributos"
"Attribute Set and Item Type","Grupo de atributos e tipo de item"
"Google Base ID","ID do Google Base"
"Impr.","Impressões"
"Items","Itens"
"Google Base Items","Itens do Google Base"
"British Pound Sterling","Libra esterlina britânica"
"Default Store (%s)","Loja padrão (%s)"
"Current Mapping will be reloaded. Continue?","Mapeamento atual será recarregado. Continuar?"
"Attributes mapping","Mapeamento de atributos"
"Invalid Product Model for Google Base Item","Modelo de produto inválido para item do Google Base"
"Item model is not specified to delete Google Base entry","Modelo do item não é especificado para excluir uma entrada do Google Base"
"Object model is not specified to save Google Base entry","Modelo do objeto não é especificado para salvar uma entrada do Google Base"
"No","Não"
"Cannot update Google Base Item for Store '%s'","Não foi possível atualizar o item do Google Base para loja '%s'"
"Unable to connect to Google Base. Please, check Account settings in configuration.","Não foi possível conectar ao Google Base. Por favor, verifique as configurações da conta em configurações."
"No items were deleted from Google Base","Nenhum item foi excluído do Google Base"
"No items were published","Nenhum item foi publicado"
"No items were saved as Inactive items","Nenhum item foi salvo como item inativo"
"No products were added to Google Base","Nenhum produto foi adicionado no Google Base"
"ClientLogin","Nome de usuário do cliente"
"Product Name","Nome do produto"
"New Item Type","Novo tipo de item"
"Target Country","País de destino"
"Please, select Attribute Set and Google Item Type to load attributes","Por favor, selecione o grupo de atributos e o tipo de item do Google para carregar os atributos"
"Available Products","Produtos disponíveis"
"Published","Publicado"
"Publish","Publicar"
"United Kingdom","Reino Unido"
"Remove","Remover"
"Save Mapping","Salvar mapeamento"
"Account password","Senha da conta"
"Yes","Sim"
"Synchronize","Sincronizar"
"Google Base Item Type","Tipo de item do Google Base"
"Google Base Item type","Tipo de item do Google Base"
"Item Type was deleted","Tipo do item foi excluído"
"Item type was successfully saved","Tipo do item foi salvo com sucesso."
"Item Types","Tipo dos itens"
"Account login","Usuário da conta"
"View Item in Google Base","Ver item no Google Base"
"Page views","Visualizações de página"
"View Available Products","Visualizar produtos disponíveis"
"Are you sure?","Você tem certeza?"
