"-- Please Select --","-- Por favor, selecione --"
"Attributes","Atributos"
"Shopping Cart","Carrinho de compras"
"Multi Address Checkout","Finalizar compra com multi-endereço"
"One Page Checkout","Finalizar compra em uma página"
"Enable","Habilitado"
"Limit is 8 attributes only.","O limite é de somente 8 atributos"
"Page View Optimization","Otimização da visualização da página"
"Category View Optimization","Otimização da visualização de categoria"
"Product View Optimization","Otimização da visualização do produto"
"Google Website Optimizer","Otimização de sites do Google"
"Other","Outro"
"Conversion Page","Página de conversão"
"Original Page","Página original"
"Variant Page","Página variante"
"Order Success (Multi Address Checkout)","Pedido realizado (finalizar compra com multi-endereço)"
"Order Success (One Page Checkout)","Pedido realizado (finalizar compra em uma página)"
"Please copy and paste this value to experiment edit form","Por favor, copie e cole este valor para testar o formuário de edição"
"Please select store view to see the URL","Por favor, selecione visão da loja para ver o URL"
"Account Registration","Registrar conta"
"Control Script","Script de controle"
"Conversion Script","Script de conversão"
"Tracking Script","Script de rastreamento"
"Install Scripts","Scripts de instalação"
"Google Optimizer Scripts","Scripts de otimização do Google"
"Page Type","Tipo da página"
"All fields of script types have to be filled.","Todos os campos de tipos de scripts precisam ser preenchidos."
"Conversion Page URL","URL da página de conversão"
"Scripts Install URL","URL do script de instalação"
"Use Default","Usar padrão"
"Use Default Values","Usar valores padrões"
