"Payment Action","Ação de pagamento"
"Authorize.net","Authorize.net"
"Authorize Only","Autorizar apenas"
"Authorize and Capture","Autorizar e capturar"
"Credit Card Verification","Código de segurança do cartão"
"Transaction key","Chave de transação"
"Debug","Debug"
"Email customer","E-mail do cliente"
"Merchant's email","E-mail do comerciante"
"Error in authorizing the payment","Erro ao autorizar o pagamento"
"Error in capturing the payment","Erro ao capturar o pagamento"
"Error in retrieving the transaction","Erro ao obter a transação"
"Error in refunding the payment","Erro ao reembolsar pagamento"
"Error in refunding the payment.","Erro ao reembolsar pagamento."
"Payment authorization error.","Erro de autorização de pagamento."
"Gateway request error: %s","Erro de solicitação de gateway: %s"
"Error in payment gateway","Erro no gateway de pagamento"
"Enabled","Habilitado"
"API Login ID","ID do usuário da API"
"Invalid transaction id","ID inválido de transação"
"Test mode","Modo de teste"
"Sort order","Ordem de ordenação"
"Payment from Specific countries","Pagamento de países específicos"
"Payment from applicable countries","Pagamento de países permitidos"
"Partner","Parceiro"
"Payflow Pro","Payflow Pro"
"Proxy Port","Porta do proxy"
"Invalid amount for authorization","Quantia inválida para autorização"
"Invalid amount for authorization.","Quantia inválida para autorização."
"Password","Senha"
"Proxy Host","Servidor do proxy"
"Fraud order status","Status de pedido com fraude"
"New order status","Status de pedido novo"
"Title","Título"
"TENDER","TENDER"
"Credit Card Types","Tipos de cartões de crédito"
"Maximum Order Total","Total máximo do pedido"
"Minimum Order Total","Total mínimo do pedido"
"Voided transaction","Transação cancelada"
"Payment authorization transaction has been declined.","Transação de autorização de pagamento foi recusada."
"URL","URL"
"Use Proxy","Usar proxy"
"User","Usuário"
"Merchant Login","Usuário do comerciante"
"VERBOSITY","VERBOSITY"
