"1 star","1 estrela"
"2 stars","2 estrelas"
"3 stars","3 estrelas"
"4 stars","4 estrelas"
"5 stars","5 estrelas"
"Add New Rating","Adicionar nova classificação"
"Rating with the same title","Classificação com o mesmo título"
"Rating isn't Available","Classificação não está disponível"
"Edit Rating","Editar classificação"
"Delete Rating","Excluir classificação"
"Manage Ratings","Gerenciar votos"
"ID","ID"
"Rating Information","Informações de classificação"
"Rating Name","Nome da classificação"
"New Rating","Nova classificação"
"Assigned Options","Opções associadas"
"Rating Options","Opções de classificação"
"Please select one of each ratings above","Por favor, selecione uma das classificações acima"
"Option Label","Rótulo de opção"
"Save Rating","Salvar classificação"
"If you do not specify a rating title for a store, the default value will be used.","Se você não especificar um título de classificação para uma loja, o valor padrão será usado."
"Be the first to review this product","Seja o primeiro a avaliar este produto"
"Rating Title","Título de classificação"
"Option Title","Título de opção"
"Option Title:","Título de opção:"
"Default Value","Valor padrão"
"Visible In","Visível em"
"Rating Visibility","Visibilidade de classificação"
