"Open Chooser","Abrir selecionador"
"Add","Adicionar"
"Apply","Aplicar"
"is","é"
"is one of","é um"
"MATCHING ANY","COMBINANDO QUALQUER UM"
"MATCHING ALL","COMBINANDO TODOS"
"contains","contém"
"Description: %s","Descrição: %s"
"Expire at: %s","Expira em: %s"
"FALSE","FALSO"
"equals or greater than","igual ou maior que"
"equals or less than","igual ou menor que"
"Start at: %s","Início em: %s"
"greater than","maior que"
"less than","menor que"
"is not","não é"
"is not one of","não é um"
"does not contain","não contém"
"NOT MATCHING ANY","NÃO COMBINAR COM NENHUMA"
"NOT MATCHING ALL","NÃO COMBINAR COM TODAS"
"Name: %s","Nome: %s"
"to","para"
"by","por"
"Please choose an action to add...","Por favor, escolha uma ação para adicionar..."
"Please choose a condition to add...","Por favor, escolha uma condição para adicionar..."
"ANY","QUALQUER"
"Invalid discount amount.","Quantia de desconto inválida"
"Perform following actions","Realizar as seguintes ações"
"Remove","Remover"
"If %s of these conditions are %s:","Se %s destas condições são %s:"
"ALL","TUDO"
"TRUE","VERDADEIRO"
