"From Date","A partir da data"
"The page you are trying to save no longer exists","A página que você está tentando salvar não existe mais"
"Actions","Ações"
"Add New Rule","Adicionar nova regra"
"Apply","Aplicar"
"Apply the rule to cart items matching the following conditions","Aplicar a regra aos itens do carrinho que atendam as seguintes condições"
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","Aplicar a regra somente aos itens do carrinho que atendam as seguintes condições (deixar em branco para todos os itens)"
"Apply the rule only if the following conditions are met (leave blank for all products)","Aplicar a regra somente se as seguintes condições forem satisfeitas (deixar em branco para todos os produtos)"
"Apply to","Aplicar para"
"Active","Ativo"
"Cart Attribute","Atributo do carrinho"
"Update product's %s %s: %s","Atualizar %s %s do produto: %s"
"Update the Product","Atualizar o produto"
"Update prices using the following information","Atualizar preços usando as seguintes informações"
"Catalog","Catálogo"
"Coupon code","Código de cupom"
"Coupon Code","Código de cupom"
"Shipping Postcode","CEP de envio"
"Customer is new buyer: %s","Cliente é um novo comprador: %s"
"Customer registered: %s","Cliente registrado: %s"
"Product attribute combination","Combinação de atributos de produto"
"Buy X get Y free (discount amount is Y)","Compre X leve Y grátis (desconto de Y)"
"Conditions","Condições"
"Conditions combination","Condições de combinação"
"Date Expire","Data de expiração"
"Date Start","Data de início"
"Discount Qty Step (Buy X)","Degrau de quantidade para desconto (compre X)"
"Maximum Qty Discount is Applied to","Desconto máximo de quantidade é aplicado para"
"Description: %s","Descrição: %s"
"Description","Descricão"
"Edit Rule","Editar regra"
"Edit Rule '%s'","Editar regra '%s'"
"Free shipping","Envio gratuito"
"This rule no longer exists","Esta regra não existe mais"
"Shipping State/Province","Estado de envio"
"Delete Rule","Excluir regra"
"Expire at: %s","Expira em: %s"
"Customer Groups","Grupos de clientes"
"ID","ID"
"Inactive","Inativo"
"Start at: %s","Início em: %s"
"Rule Information","Informações da regra"
"General Information","Informações gerais"
"Shipping Method","Método de envio"
"Payment Method","Método de pagamento"
"No","Não"
"Unable to find a page to delete","Não foi possível encontrar uma página para excluir"
"NOT LOGGED IN","NÃO CONECTADO"
"Rule Name","Nome da regra"
"Name: %s","Nome: %s"
"New Rule","Nova regra"
"Shipping Country","País de envio"
"To Date","Para data"
"For shipment with matching items","Para envio com itens selecionados"
"To Percentage","Para porcentagem"
"To Percentage of the original price","Para porcentagem do preço original"
"To Fixed Amount","Para quantidade fixa"
"To Fixed Value","Para valor fixo"
"Stop further rules processing","Parar processamento de demais regras"
"Public In RSS Feed","Público no RSS Feed"
"Total Weight","Peso total"
"By Percentage","Por percentagem"
"By Percentage of the original price","Por porcentagem do preço original"
"By Fixed Amount","Por valor fixo"
"By Fixed value","Por valor fixo"
"Percent of product price discount","Porcentagem do desconto no preço do produto"
"Special price","Preço especial"
"Price in cart","Preço no carrinho"
"Priority","Prioridade"
"Promotions","Promoções"
"Quantity in cart","Quantidade no carrinho"
"Total Items Quantity","Quantidade total de itens"
"Shipping Region","Região de envio"
"Shopping Cart Price Rule","Regra de preço do carrinho de compras"
"Rule was successfully deleted","Regra foi excluída com sucesso"
"Rule was successfully saved","Regra foi salva com sucesso"
"Shopping Cart Price Rules","Regras de preço do carrinho de compras"
"Save Rule","Salvar regra"
"Yes","Sim"
"For matching items only","Somente para itens selecionados"
"Status","Status"
"Products subselection","Sub-seleção de produtos"
"Subtotal","Subtotal"
"Row total in cart","Total de linhas no carrinho"
"Discount amount","Total do desconto"
"Uses per customer","Usos por cliente"
"Uses per coupon","Usos por cupom"
"Fixed amount discount for whole cart","Valor de desconto fixo para todo o carrinho"
"Fixed amount discount","Valor fixo de desconto"
